Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender and Type of Condition (ABS condition item put into ICD10 Hierarchy)"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man",,,,,,"Woman",,,,,,"Non-binary",,,,,,"Total",,,,,,
"Type of Condition (ABS condition item put into ICD10 Hierarchy)","No condition","No condition - RSE","No condition - Annotations","All conditions","All conditions - RSE","All conditions - Annotations","No condition","No condition - RSE","No condition - Annotations","All conditions","All conditions - RSE","All conditions - Annotations","No condition","No condition - RSE","No condition - Annotations","All conditions","All conditions - RSE","All conditions - Annotations","No condition","No condition - RSE","No condition - Annotations","All conditions","All conditions - RSE","All conditions - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"9",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"10",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
