Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender and Physical Activity Guidelines 2014 - 15+ yrs"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man",,,,,,"Woman",,,,,,"Non-binary",,,,,,"Total",,,,,,
"Physical Activity Guidelines 2014 - 15+ yrs","Met 2014 physical activity guidelines","Met 2014 physical activity guidelines - RSE","Met 2014 physical activity guidelines - Annotations","Did not meet 2014 physical activity guidelines","Did not meet 2014 physical activity guidelines - RSE","Did not meet 2014 physical activity guidelines - Annotations","Met 2014 physical activity guidelines","Met 2014 physical activity guidelines - RSE","Met 2014 physical activity guidelines - Annotations","Did not meet 2014 physical activity guidelines","Did not meet 2014 physical activity guidelines - RSE","Did not meet 2014 physical activity guidelines - Annotations","Met 2014 physical activity guidelines","Met 2014 physical activity guidelines - RSE","Met 2014 physical activity guidelines - Annotations","Did not meet 2014 physical activity guidelines","Did not meet 2014 physical activity guidelines - RSE","Did not meet 2014 physical activity guidelines - Annotations","Met 2014 physical activity guidelines","Met 2014 physical activity guidelines - RSE","Met 2014 physical activity guidelines - Annotations","Did not meet 2014 physical activity guidelines","Did not meet 2014 physical activity guidelines - RSE","Did not meet 2014 physical activity guidelines - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"9",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
