Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender and Australian Adult Alcohol Guideline 2020"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man",,,,,,,,,,,,,,,,,,"Woman",,,,,,,,,,,,,,,,,,"Non-binary",,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,
"Australian Adult Alcohol Guideline 2020","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations","Exceeded guideline","Exceeded guideline - RSE","Exceeded guideline - Annotations","Did not exceed guideline","Did not exceed guideline - RSE","Did not exceed guideline - Annotations","Consumed alcohol 12 or more months ago","Consumed alcohol 12 or more months ago - RSE","Consumed alcohol 12 or more months ago - Annotations","Never consumed alcohol","Never consumed alcohol - RSE","Never consumed alcohol - Annotations","Risk level not known","Risk level not known - RSE","Risk level not known - Annotations","Time since last consumed alcohol not known","Time since last consumed alcohol not known - RSE","Time since last consumed alcohol not known - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
