Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender and Body mass index - measured - categories (whole years scale for all ages)"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man",,,,,,,,,,,,,,,,,,,,,,,,,,,"Woman",,,,,,,,,,,,,,,,,,,,,,,,,,,"Non-binary",,,,,,,,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Body mass index - measured - categories (whole years scale for all ages)","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations","Underweight Class 3","Underweight Class 3 - RSE","Underweight Class 3 - Annotations","Underweight Class 2","Underweight Class 2 - RSE","Underweight Class 2 - Annotations","Underweight Class 1","Underweight Class 1 - RSE","Underweight Class 1 - Annotations","Normal range","Normal range - RSE","Normal range - Annotations","Normal range (Adult only)","Normal range (Adult only) - RSE","Normal range (Adult only) - Annotations","Overweight","Overweight - RSE","Overweight - Annotations","Obese Class 1","Obese Class 1 - RSE","Obese Class 1 - Annotations","Obese Class 2 (Adult only)","Obese Class 2 (Adult only) - RSE","Obese Class 2 (Adult only) - Annotations","Obese Class 3 (Adult only)","Obese Class 3 (Adult only) - RSE","Obese Class 3 (Adult only) - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
