Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender and Type of Condition (ABS condition item put into ICD10 Hierarchy)"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man",,,"Woman",,,"Non-binary",,,"Total",,,
"Type of Condition (ABS condition item put into ICD10 Hierarchy)","No condition","No condition - RSE","No condition - Annotations","No condition","No condition - RSE","No condition - Annotations","No condition","No condition - RSE","No condition - Annotations","No condition","No condition - RSE","No condition - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"9",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"10",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"11",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"12",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"13",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"14",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"15",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"16",13.2,41.43,"*",6.8,49.06,"*",0,0.00,,19.6,30.52,"*",
"17",13.7,37.96,"*",11.5,np,"**",0,0.00,,19.4,46.25,"*",
"18",56.5,32.90,"*",26.3,np,"**",0,0.00,,95.3,27.23,"*",
"19",38.3,36.53,"*",22.1,np,"**",0,0.00,,60.3,31.14,"*",
"20",38.8,38.00,"*",13.6,np,"**",0,0.00,,44,34.24,"*",
"21",36.3,42.13,"*",14,45.03,"*",0,0.00,,43.5,35.91,"*",
"22",21.9,39.57,"*",10.3,np,"**",0,0.00,,36.8,30.88,"*",
"23",9.9,np,"**",0,0.00,,0,0.00,,14,np,"**",
"24",18.2,36.75,"*",5.8,np,"**",0,0.00,,24.6,33.33,"*",
"25",39.7,30.72,"*",6,np,"**",0,0.00,,38.1,31.95,"*",
"26",28,36.26,"*",11.7,np,"**",0,0.00,,39.9,28.78,"*",
"27",27.1,38.22,"*",25.6,np,"**",0,0.00,,58.3,31.85,"*",
"28",28.3,41.77,"*",32,35.00,"*",0,0.00,,62.7,24.05,,
"29",40.5,36.72,"*",6.1,np,"**",0,0.00,,45.6,34.10,"*",
"30",43.2,32.24,"*",25.2,43.93,"*",0,0.00,,77.5,22.30,,
"31",36.1,29.31,"*",13.6,46.39,"*",0,0.00,,43.7,27.12,"*",
"32",37.8,28.33,"*",24,35.28,"*",0,0.00,,67,19.48,,
"33",14.2,45.06,"*",20.1,45.78,"*",0,0.00,,36.2,27.87,"*",
"34",25.6,np,"**",25.7,37.73,"*",0,0.00,,55.1,28.21,"*",
"35",19.4,42.16,"*",20.4,33.74,"*",0,0.00,,40,27.70,"*",
"36",17,45.25,"*",7.5,46.93,"*",0,0.00,,22,36.99,"*",
"37",21.7,43.89,"*",10,42.36,"*",0,0.00,,28.7,37.48,"*",
"38",21.5,37.70,"*",9.4,49.52,"*",0,0.00,,32.7,26.10,"*",
"39",19.6,40.33,"*",15.2,np,"**",0,0.00,,36.3,29.61,"*",
"40",28.5,26.24,"*",21.4,40.25,"*",0,0.00,,54.2,22.48,,
"41",20.5,35.55,"*",20.3,np,"**",0,0.00,,48,31.07,"*",
"42",19.7,np,"**",8.5,np,"**",0,0.00,,37.6,34.22,"*",
"43",12.8,47.31,"*",4.3,np,"**",0,0.00,,12.5,49.74,"*",
