Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man","Man - RSE","Man - Annotations","Woman","Woman - RSE","Woman - Annotations","Non-binary","Non-binary - RSE","Non-binary - Annotations","Total","Total - RSE","Total - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"9",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"10",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"11",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"12",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"13",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"14",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"15",0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"16",54.7,18.54,,35.5,24.65,,0,0.00,,93.4,12.93,,
"17",70.9,17.92,,73.2,15.52,,7.1,np,"**",143.3,11.67,,
"18",179.7,14.92,,141.5,19.18,,0,0.00,,337.5,10.94,,
"19",148.3,14.27,,168,14.57,,0,0.00,,309.2,10.39,,
"20",106.8,19.79,,149.4,17.25,,3.4,np,"**",260,12.85,,
"21",147.7,19.37,,107,18.41,,5.1,np,"**",262.9,14.51,,
"22",149.7,17.37,,140.6,17.92,,6,np,"**",310.6,11.42,,
"23",152.8,18.87,,136.1,16.57,,0,0.00,,293.3,13.83,,
"24",118.5,14.86,,136.1,13.55,,0,0.00,,253.5,8.69,,
"25",163.2,14.99,,112.3,18.03,,0,0.00,,279.1,10.22,,
"26",135.7,13.85,,137.6,17.39,,0,0.00,,271.3,11.80,,
"27",150.2,14.63,,175.2,17.87,,0,0.00,,335.3,10.53,,
"28",183.1,10.37,,159.4,13.92,,19.4,np,"**",352.1,9.09,,
"29",204,15.95,,170.7,12.81,,0,0.00,,373.5,9.67,,
"30",227.5,11.64,,158.9,14.03,,1.9,np,"**",387.5,9.57,,
"31",162.1,15.23,,237,10.76,,0,0.00,,399.2,9.25,,
"32",175.3,11.75,,211.3,11.99,,0,0.00,,386.6,8.77,,
"33",184.5,12.55,,201.7,11.78,,0,0.00,,381.4,8.81,,
"34",150.7,12.69,,208.2,10.45,,0,0.00,,367.5,7.49,,
"35",167.7,12.19,,186.6,10.72,,0,0.00,,355.5,8.14,,
"36",114,15.71,,163.1,10.51,,0,0.00,,275.9,8.75,,
"37",161.3,12.11,,170.6,10.89,,3.1,np,"**",334.1,7.40,,
"38",179.3,10.64,,192,11.82,,0,0.00,,368.3,8.18,,
"39",144.6,12.38,,182,10.99,,0,0.00,,331,7.71,,
"40",221.7,10.25,,176.1,9.94,,0,0.00,,401.9,6.56,,
"41",168.1,11.90,,164.6,14.46,,0,0.00,,341,9.06,,
"42",183.4,11.34,,129.2,13.48,,3,np,"**",323.4,8.66,,
"43",167.8,10.43,,182.8,9.38,,0,0.00,,352.1,6.06,,
"44",129.2,15.07,,167.4,11.60,,0,0.00,,288.3,10.20,,
"45",183.6,12.17,,167,10.45,,0,0.00,,352.2,7.70,,
"46",112.4,16.08,,155.1,11.44,,0,0.00,,274.9,8.64,,
"47",140.4,15.23,,107.9,17.36,,0,0.00,,248,10.94,,
"48",195.4,14.06,,135.5,13.94,,0,0.00,,326,9.90,,
"49",133.2,12.20,,203,11.68,,0,0.00,,335.4,8.58,,
"50",155.2,13.44,,184.5,12.28,,0,0.00,,345,9.72,,
"51",134.1,15.83,,134.5,14.20,,0,0.00,,276.1,9.94,,
"52",139.5,15.21,,161.4,15.75,,0,0.00,,297.4,9.84,,
"53",128.4,14.30,,164.9,12.34,,0,0.00,,299.5,9.09,,
"54",148.6,15.82,,149.3,10.93,,0,0.00,,305,9.38,,
"55",108.5,17.40,,130.5,13.80,,0,0.00,,243.7,10.90,,
"56",146.4,14.35,,155.2,13.62,,0,0.00,,305,11.03,,
"57",181.1,12.17,,147.2,13.46,,0,0.00,,336.3,9.62,,
"58",172.5,11.96,,107,14.32,,0,0.00,,282.6,8.86,,
"59",136.2,13.95,,157.4,11.74,,0,0.00,,290.7,9.68,,
"60",123.4,14.40,,156.4,10.02,,0,0.00,,281.2,7.81,,
"61",145.8,14.86,,174.3,11.76,,0,0.00,,324.3,8.98,,
"62",118.3,13.87,,144.6,13.14,,0,0.00,,270.5,7.84,,
"63",141.6,14.49,,134.3,11.48,,0,0.00,,275.8,8.91,,
"64",137,12.31,,135.6,12.24,,0,0.00,,280.2,8.09,,
"65",136,10.58,,116,14.32,,0,0.00,,250.6,8.40,,
"66",116.2,13.91,,156.4,11.02,,0,0.00,,273.8,9.13,,
"67",122.8,11.99,,135.2,9.58,,1.1,np,"**",257.6,7.15,,
"68",106.8,13.73,,95.7,13.22,,0,0.00,,209,8.50,,
"69",92.8,12.45,,133.3,14.00,,0,0.00,,227.2,9.66,,
"70",121.1,12.25,,120.8,13.29,,0,0.00,,239.6,9.13,,
"71",104.7,14.49,,126.4,12.33,,0,0.00,,225.2,10.34,,
"72",93.8,14.85,,96.9,11.58,,0,0.00,,195,8.73,,
"73",104.2,14.05,,104.3,14.02,,0,0.00,,215.7,9.92,,
"74",102.6,14.21,,95,11.29,,0,0.00,,196.2,9.93,,
