Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender and Current smoker status"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man",,,,,,,,,"Woman",,,,,,,,,"Non-binary",,,,,,,,,"Total",,,,,,,,,
"Current smoker status","Current daily smoker","Current daily smoker - RSE","Current daily smoker - Annotations","Current smoker - other","Current smoker - other - RSE","Current smoker - other - Annotations","Current non-smoker","Current non-smoker - RSE","Current non-smoker - Annotations","Current daily smoker","Current daily smoker - RSE","Current daily smoker - Annotations","Current smoker - other","Current smoker - other - RSE","Current smoker - other - Annotations","Current non-smoker","Current non-smoker - RSE","Current non-smoker - Annotations","Current daily smoker","Current daily smoker - RSE","Current daily smoker - Annotations","Current smoker - other","Current smoker - other - RSE","Current smoker - other - Annotations","Current non-smoker","Current non-smoker - RSE","Current non-smoker - Annotations","Current daily smoker","Current daily smoker - RSE","Current daily smoker - Annotations","Current smoker - other","Current smoker - other - RSE","Current smoker - other - Annotations","Current non-smoker","Current non-smoker - RSE","Current non-smoker - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"9",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"10",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"11",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"12",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"13",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"14",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"15",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"16",0,0.00,,0,0.00,,54.7,18.54,,0,0.00,,0,0.00,,35.5,24.65,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,93.4,12.93,,
"17",0,0.00,,0,0.00,,62.2,19.93,,0,0.00,,0,0.00,,63,18.14,,0,0.00,,0,0.00,,0,0.00,,3.6,np,"**",0,0.00,,137.3,12.34,,
"18",8.9,np,"**",11,np,"**",163.5,16.25,,0,0.00,,3.4,np,"**",132.7,20.30,,0,0.00,,0,0.00,,0,0.00,,11.6,np,"**",7.2,np,"**",289.4,12.59,,
"19",0,0.00,,15.7,np,"**",124.6,16.18,,14.5,np,"**",0,0.00,,147.9,15.78,,0,0.00,,0,0.00,,0,0.00,,11.3,np,"**",24.3,44.29,"*",270.1,10.74,,
"20",18.2,42.46,"*",0,0.00,,106,19.46,,2.4,np,"**",0,0.00,,144.9,16.52,,0,0.00,,0,0.00,,3.4,np,"**",18.4,41.07,"*",6,np,"**",238.8,13.01,,
"21",14.5,np,"**",10,np,"**",129.8,18.70,,10.4,np,"**",0,0.00,,94.5,20.55,,0,0.00,,0,0.00,,5.1,np,"**",22.6,49.16,"*",10,np,"**",231.8,14.71,,
"22",20.5,38.63,"*",11.8,np,"**",132.9,19.51,,5.9,np,"**",9.2,np,"**",140.8,16.25,,0,0.00,,0,0.00,,6,np,"**",19.6,45.23,"*",17.1,np,"**",261.7,13.41,,
"23",9.2,np,"**",2.3,np,"**",148,19.43,,7.8,np,"**",5.7,np,"**",126.4,17.52,,0,0.00,,0,0.00,,0,0.00,,28.2,34.98,"*",7.9,42.45,"*",267.6,15.12,,
"24",14.6,np,"**",12.1,48.81,"*",95.3,15.21,,13.3,np,"**",0,0.00,,114.4,15.31,,0,0.00,,0,0.00,,0,0.00,,31.3,38.03,"*",10.4,np,"**",203.8,9.38,,
"25",33.4,44.94,"*",0,0.00,,135,16.09,,18.9,np,"**",0,0.00,,100.5,17.27,,0,0.00,,0,0.00,,0,0.00,,49.6,34.23,"*",3.8,np,"**",233.1,11.48,,
"26",19.4,34.54,"*",0,0.00,,116.8,15.10,,9.7,np,"**",0,0.00,,123,16.95,,0,0.00,,0,0.00,,0,0.00,,24,47.05,"*",3.1,np,"**",239.7,11.51,,
"27",27.3,38.61,"*",0,0.00,,127.6,16.33,,9.1,np,"**",1,np,"**",158.7,18.82,,0,0.00,,0,0.00,,0,0.00,,40.7,32.14,"*",2.2,np,"**",288.8,11.35,,
"28",25.1,36.79,"*",4.9,np,"**",153.3,12.74,,5.6,37.56,"*",0.6,np,"**",161.4,13.48,,0,0.00,,0,0.00,,19.4,np,"**",31.4,28.68,"*",8,48.76,"*",320.1,9.37,,
"29",15.9,np,"**",3.3,np,"**",167.3,18.85,,25.1,44.74,"*",0,0.00,,143.7,14.20,,0,0.00,,0,0.00,,0,0.00,,43.1,34.82,"*",3.3,np,"**",311.8,11.85,,
"30",31.7,41.40,"*",8.2,np,"**",193.2,12.90,,17.3,48.79,"*",0.9,np,"**",139,15.72,,0,0.00,,0,0.00,,1.9,np,"**",53.1,28.95,"*",11.3,49.91,"*",326.1,11.46,,
"31",28.1,40.95,"*",6.9,np,"**",127.7,16.05,,11.7,np,"**",0,0.00,,217.3,10.78,,0,0.00,,0,0.00,,0,0.00,,44.1,28.41,"*",6.9,np,"**",356.5,8.75,,
"32",16.7,30.80,"*",0,0.00,,159.2,13.09,,23.7,28.53,"*",11.9,45.05,"*",181.4,13.23,,0,0.00,,0,0.00,,0,0.00,,37.7,21.93,,14,np,"**",344.1,9.73,,
"33",23.1,44.59,"*",2.7,np,"**",152.6,13.71,,14,np,"**",0,0.00,,181.5,11.93,,0,0.00,,0,0.00,,0,0.00,,38.7,31.10,"*",8.6,np,"**",329,8.98,,
"34",13,47.84,"*",13.1,np,"**",129.2,13.58,,24.1,37.79,"*",0,0.00,,199.8,10.40,,0,0.00,,0,0.00,,0,0.00,,30.8,35.86,"*",13.1,np,"**",323.7,8.14,,
"35",9,np,"**",5.3,np,"**",156.9,12.49,,18.6,45.64,"*",3.7,np,"**",175.5,11.11,,0,0.00,,0,0.00,,0,0.00,,20.2,44.29,"*",4.5,np,"**",324.4,8.57,,
"36",26.6,41.82,"*",0,0.00,,88.9,16.54,,7.9,np,"**",0,0.00,,157.1,10.10,,0,0.00,,0,0.00,,0,0.00,,39.9,28.48,"*",0,0.00,,239.9,8.99,,
"37",27.1,33.73,"*",3,np,"**",133.5,13.28,,11.2,48.48,"*",0,0.00,,149.2,12.78,,0,0.00,,0,0.00,,3.1,np,"**",36.4,30.63,"*",5.3,np,"**",286.2,8.25,,
"38",16.3,43.29,"*",0,0.00,,157.6,11.27,,7.8,np,"**",0,0.00,,181.4,11.53,,0,0.00,,0,0.00,,0,0.00,,32.8,26.56,"*",0,0.00,,340.7,7.98,,
