Australian Bureau of Statistics

"National Health Survey, 2022"
"Age of person in single years by Gender and State or territory - ASGS 2021"
"Counting: Weighted count of Person level"

Filters:
"Default summation","Weighted count of Person level (#)"

"Gender","Man",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Non-binary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"State or territory - ASGS 2021","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations","New South Wales","New South Wales - RSE","New South Wales - Annotations","Victoria","Victoria - RSE","Victoria - Annotations","Queensland","Queensland - RSE","Queensland - Annotations","South Australia","South Australia - RSE","South Australia - Annotations","Western Australia","Western Australia - RSE","Western Australia - Annotations","Tasmania","Tasmania - RSE","Tasmania - Annotations","Northern Territory","Northern Territory - RSE","Northern Territory - Annotations","Australian Capital Territory","Australian Capital Territory - RSE","Australian Capital Territory - Annotations","Other Territories","Other Territories - RSE","Other Territories - Annotations","Outside Australia","Outside Australia - RSE","Outside Australia - Annotations",
"Age of person in single years",
"0",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"1",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"2",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"3",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"4",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"5",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"6",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"7",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
"8",0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,0,0.00,,
