age,nhs_abs_condition__all_conditions,nhs_abs_condition__no_condition,nhs_activity__did_not_meet_2014_physical_activity_guidelines,nhs_activity__met_2014_physical_activity_guidelines,nhs_alcohol__consumed_alcohol_12_or_more_months_ago,nhs_alcohol__did_not_exceed_guideline,nhs_alcohol__exceeded_guideline,nhs_alcohol__never_consumed_alcohol,nhs_alcohol__risk_level_not_known,nhs_alcohol__time_since_last_consumed_alcohol_not_known,nhs_bmi__normal_range,nhs_bmi__normal_range_adult_only,nhs_bmi__obese_class_1,nhs_bmi__obese_class_2_adult_only,nhs_bmi__obese_class_3_adult_only,nhs_bmi__overweight,nhs_bmi__underweight_class_1,nhs_bmi__underweight_class_2,nhs_bmi__underweight_class_3,nhs_comorbidity_all_condition__certain_conditions_originating_in_the_perinatal_period,nhs_comorbidity_all_condition__certain_infectious_and_parasitic_diseases,nhs_comorbidity_all_condition__codes_for_special_purposes,nhs_comorbidity_all_condition__congenital_malformations_deformations_and_chromosomal_abnormalities,nhs_comorbidity_all_condition__diseases_of_genito_urinary_system,nhs_comorbidity_all_condition__diseases_of_the_blood_and_blood_forming_organs,nhs_comorbidity_all_condition__diseases_of_the_circulatory_system,nhs_comorbidity_all_condition__diseases_of_the_digestive_system,nhs_comorbidity_all_condition__diseases_of_the_ear_and_mastoid_process,nhs_comorbidity_all_condition__diseases_of_the_eye_and_adnexa,nhs_comorbidity_all_condition__diseases_of_the_musculoskeletal_system_and_connective_tissue,nhs_comorbidity_all_condition__diseases_of_the_nervous_system,nhs_comorbidity_all_condition__diseases_of_the_respiratory_system,nhs_comorbidity_all_condition__diseases_of_the_skin_and_subcutaneous_tissue,nhs_comorbidity_all_condition__endocrine_nutritional_and_metabolic_disorders,nhs_comorbidity_all_condition__injury_poisoning_and_certain_other_consequences_of_external_causes,nhs_comorbidity_all_condition__mental_and_behavioural_disorders,nhs_comorbidity_all_condition__neoplasms,nhs_comorbidity_all_condition__pregnancy_childbrith_and_the_puerperium,nhs_comorbidity_all_condition__symptoms_signs_and_conditions_not_elsewhere_classified,nhs_comorbidity_no_condition__no_condition,nhs_population__total,nhs_seifa__decile_1_lowest,nhs_seifa__decile_10_highest,nhs_seifa__decile_2,nhs_seifa__decile_3,nhs_seifa__decile_4,nhs_seifa__decile_5,nhs_seifa__decile_6,nhs_seifa__decile_7,nhs_seifa__decile_8,nhs_seifa__decile_9,nhs_smoking__current_daily_smoker,nhs_smoking__current_non_smoker,nhs_smoking__current_smoker_other,nhs_states__australian_capital_territory,nhs_states__new_south_wales,nhs_states__northern_territory,nhs_states__other_territories,nhs_states__outside_australia,nhs_states__queensland,nhs_states__south_australia,nhs_states__tasmania,nhs_states__victoria,nhs_states__western_australia,nhs_abs_condition__all_conditions_rate,nhs_abs_condition__no_condition_rate,nhs_activity__did_not_meet_2014_physical_activity_guidelines_rate,nhs_activity__met_2014_physical_activity_guidelines_rate,nhs_alcohol__consumed_alcohol_12_or_more_months_ago_rate,nhs_alcohol__did_not_exceed_guideline_rate,nhs_alcohol__exceeded_guideline_rate,nhs_alcohol__never_consumed_alcohol_rate,nhs_alcohol__risk_level_not_known_rate,nhs_alcohol__time_since_last_consumed_alcohol_not_known_rate,nhs_bmi__normal_range_rate,nhs_bmi__normal_range_adult_only_rate,nhs_bmi__obese_class_1_rate,nhs_bmi__obese_class_2_adult_only_rate,nhs_bmi__obese_class_3_adult_only_rate,nhs_bmi__overweight_rate,nhs_bmi__underweight_class_1_rate,nhs_bmi__underweight_class_2_rate,nhs_bmi__underweight_class_3_rate,nhs_comorbidity_all_condition__certain_conditions_originating_in_the_perinatal_period_rate,nhs_comorbidity_all_condition__certain_infectious_and_parasitic_diseases_rate,nhs_comorbidity_all_condition__codes_for_special_purposes_rate,nhs_comorbidity_all_condition__congenital_malformations_deformations_and_chromosomal_abnormalities_rate,nhs_comorbidity_all_condition__diseases_of_genito_urinary_system_rate,nhs_comorbidity_all_condition__diseases_of_the_blood_and_blood_forming_organs_rate,nhs_comorbidity_all_condition__diseases_of_the_circulatory_system_rate,nhs_comorbidity_all_condition__diseases_of_the_digestive_system_rate,nhs_comorbidity_all_condition__diseases_of_the_ear_and_mastoid_process_rate,nhs_comorbidity_all_condition__diseases_of_the_eye_and_adnexa_rate,nhs_comorbidity_all_condition__diseases_of_the_musculoskeletal_system_and_connective_tissue_rate,nhs_comorbidity_all_condition__diseases_of_the_nervous_system_rate,nhs_comorbidity_all_condition__diseases_of_the_respiratory_system_rate,nhs_comorbidity_all_condition__diseases_of_the_skin_and_subcutaneous_tissue_rate,nhs_comorbidity_all_condition__endocrine_nutritional_and_metabolic_disorders_rate,nhs_comorbidity_all_condition__injury_poisoning_and_certain_other_consequences_of_external_causes_rate,nhs_comorbidity_all_condition__mental_and_behavioural_disorders_rate,nhs_comorbidity_all_condition__neoplasms_rate,nhs_comorbidity_all_condition__pregnancy_childbrith_and_the_puerperium_rate,nhs_comorbidity_all_condition__symptoms_signs_and_conditions_not_elsewhere_classified_rate,nhs_comorbidity_no_condition__no_condition_rate,nhs_seifa__decile_1_lowest_rate,nhs_seifa__decile_10_highest_rate,nhs_seifa__decile_2_rate,nhs_seifa__decile_3_rate,nhs_seifa__decile_4_rate,nhs_seifa__decile_5_rate,nhs_seifa__decile_6_rate,nhs_seifa__decile_7_rate,nhs_seifa__decile_8_rate,nhs_seifa__decile_9_rate,nhs_smoking__current_daily_smoker_rate,nhs_smoking__current_non_smoker_rate,nhs_smoking__current_smoker_other_rate,nhs_states__australian_capital_territory_rate,nhs_states__new_south_wales_rate,nhs_states__northern_territory_rate,nhs_states__other_territories_rate,nhs_states__outside_australia_rate,nhs_states__queensland_rate,nhs_states__south_australia_rate,nhs_states__tasmania_rate,nhs_states__victoria_rate,nhs_states__western_australia_rate
16,71.6,19.6,86.5,4.6,7.5,36.5,3.0,51.1,0.0,0.0,60.6,0.0,17.1,0.0,0.0,15.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,3.8,40.2,8.4,4.2,51.9,0.0,14.1,13.1,28.6,0.0,0.0,2.5,19.6,93.4,9.3,12.7,5.0,8.9,19.1,9.0,7.2,15.0,8.3,3.5,0.0,93.4,0.0,3.2,32.8,0.7,0.0,0.0,12.7,8.6,0.0,18.8,11.4,0.766595289079229,0.20985010706638116,0.9261241970021413,0.04925053533190577,0.08029978586723768,0.3907922912205567,0.032119914346895075,0.5471092077087795,0.0,0.0,0.6488222698072805,0.0,0.18308351177730192,0.0,0.0,0.16059957173447537,0.08137044967880085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06638115631691649,0.0,0.04068522483940042,0.43040685224839403,0.08993576017130621,0.044967880085653104,0.5556745182012848,0.0,0.15096359743040683,0.14025695931477514,0.30620985010706636,0.0,0.0,0.026766595289079226,0.20985010706638116,0.09957173447537473,0.13597430406852246,0.05353319057815845,0.09528907922912205,0.2044967880085653,0.09635974304068522,0.07708779443254818,0.16059957173447537,0.08886509635974305,0.03747323340471092,0.0,1.0,0.0,0.034261241970021415,0.3511777301927194,0.0074946466809421835,0.0,0.0,0.13597430406852246,0.09207708779443254,0.0,0.2012847965738758,0.12205567451820128
17,122.4,19.4,143.6,3.9,2.5,67.6,15.6,55.5,0.0,0.0,72.8,0.0,17.9,0.0,0.0,39.3,13.2,0.0,0.0,0.0,0.0,0.0,0.0,6.5,10.8,0.0,0.0,24.3,63.3,18.3,12.0,58.7,5.3,0.0,34.8,65.9,0.0,0.0,4.8,19.4,143.3,9.1,13.1,13.7,23.6,22.9,16.8,7.5,9.0,20.8,11.0,3.6,137.3,0.0,0.6,41.5,0.8,0.0,0.0,33.5,8.0,4.2,50.4,14.9,0.8541521284019539,0.13538032100488484,1.0020935101186321,0.027215631542219117,0.017445917655268667,0.4717376133984647,0.10886252616887647,0.3872993719469644,0.0,0.0,0.5080251221214235,0.0,0.12491277041172363,0.0,0.0,0.2742498255408234,0.09211444521981856,0.0,0.0,0.0,0.0,0.0,0.0,0.04535938590369853,0.07536636427076064,0.0,0.0,0.16957431960921143,0.4417306350314026,0.12770411723656663,0.0837404047452896,0.4096301465457083,0.03698534542916957,0.0,0.2428471737613398,0.45987438939288205,0.0,0.0,0.033496161898115835,0.13538032100488484,0.06350314026517793,0.0914166085136078,0.09560362875087228,0.16468946266573622,0.15980460572226096,0.11723656664340544,0.052337752965806,0.0628053035589672,0.1451500348918353,0.07676203768318213,0.025122121423586878,0.9581297976273552,0.0,0.004187020237264479,0.28960223307745986,0.005582693649685973,0.0,0.0,0.23377529658060012,0.05582693649685973,0.02930914166085136,0.3517096999302163,0.10397766922540125
18,250.5,95.3,225.7,95.5,0.0,152.5,76.1,62.6,0.0,17.6,73.9,130.5,12.8,20.0,0.0,67.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,11.2,24.9,105.8,19.6,9.4,139.4,5.8,14.2,50.9,99.6,0.0,0.0,19.3,95.3,337.5,38.1,38.8,33.4,38.0,35.3,29.9,30.0,27.6,50.1,34.4,11.6,289.4,7.2,2.7,113.7,1.5,0.0,0.0,82.4,8.6,5.9,90.8,24.5,0.7422222222222222,0.2823703703703704,0.6687407407407407,0.28296296296296297,0.0,0.45185185185185184,0.22548148148148148,0.1854814814814815,0.0,0.05214814814814815,0.21896296296296297,0.38666666666666666,0.037925925925925925,0.05925925925925926,0.0,0.2011851851851852,0.02637037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.033185185185185186,0.07377777777777778,0.31348148148148147,0.05807407407407408,0.027851851851851853,0.41303703703703704,0.017185185185185185,0.04207407407407407,0.15081481481481482,0.2951111111111111,0.0,0.0,0.057185185185185186,0.2823703703703704,0.1128888888888889,0.11496296296296296,0.09896296296296296,0.11259259259259259,0.10459259259259258,0.08859259259259258,0.08888888888888889,0.08177777777777778,0.14844444444444446,0.10192592592592592,0.03437037037037037,0.8574814814814814,0.021333333333333333,0.008,0.3368888888888889,0.0044444444444444444,0.0,0.0,0.24414814814814817,0.02548148148148148,0.017481481481481483,0.269037037037037,0.0725925925925926
19,241.4,60.3,185.2,118.0,31.8,106.6,95.0,73.3,0.0,0.0,51.8,98.5,11.0,15.1,12.1,88.4,14.7,0.0,0.0,0.0,0.0,0.0,0.0,10.3,13.8,9.8,5.0,22.9,114.6,29.8,11.7,123.5,8.2,8.4,43.7,130.3,0.0,0.0,1.8,60.3,309.2,61.0,51.1,19.1,27.2,39.4,25.7,17.4,12.5,38.4,15.6,11.3,270.1,24.3,5.1,105.7,1.6,0.0,0.0,67.7,32.2,10.4,51.6,24.2,0.7807244501940492,0.19501940491591202,0.5989650711513583,0.38163001293661064,0.10284605433376456,0.3447606727037516,0.3072445019404916,0.2370633893919793,0.0,0.0,0.16752910737386803,0.3185640362225097,0.03557567917205692,0.048835705045278135,0.039133247089262614,0.2858990944372575,0.04754204398447607,0.0,0.0,0.0,0.0,0.0,0.0,0.033311772315653305,0.044631306597671415,0.03169469598965072,0.016170763260025874,0.0740620957309185,0.370633893919793,0.09637774902975421,0.03783958602846054,0.39941785252263906,0.02652005174644243,0.027166882276843468,0.14133247089262616,0.4214100905562743,0.0,0.0,0.005821474773609315,0.19501940491591202,0.19728331177231567,0.16526520051746443,0.06177231565329884,0.08796895213454076,0.12742561448900389,0.08311772315653299,0.05627425614489004,0.04042690815006469,0.12419146183699871,0.050452781371280724,0.036545924967658475,0.8735446313065978,0.07858990944372575,0.016494178525226392,0.34184993531694696,0.00517464424320828,0.0,0.0,0.21895213454075035,0.10413971539456664,0.03363518758085382,0.16688227684346701,0.07826649417852523
20,215.7,44.0,173.7,84.2,7.2,140.8,98.7,21.8,0.0,0.0,31.0,107.7,28.0,35.5,21.8,52.4,5.2,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.0,19.8,5.5,20.0,125.2,44.5,15.8,127.8,14.3,30.3,54.7,108.7,0.0,0.0,0.0,44.0,260.0,37.4,11.9,8.9,20.3,7.5,56.3,10.2,9.0,36.6,54.7,18.4,238.8,6.0,7.4,68.1,3.1,0.0,0.0,59.2,14.0,3.9,81.5,31.9,0.8296153846153845,0.16923076923076924,0.668076923076923,0.32384615384615384,0.027692307692307693,0.5415384615384616,0.37961538461538463,0.08384615384615385,0.0,0.0,0.11923076923076924,0.41423076923076924,0.1076923076923077,0.13653846153846153,0.08384615384615385,0.20153846153846153,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0926923076923077,0.0,0.07615384615384616,0.021153846153846155,0.07692307692307693,0.4815384615384615,0.17115384615384616,0.06076923076923077,0.49153846153846154,0.055,0.11653846153846154,0.2103846153846154,0.41807692307692307,0.0,0.0,0.0,0.16923076923076924,0.14384615384615385,0.04576923076923077,0.03423076923076923,0.07807692307692309,0.028846153846153848,0.21653846153846154,0.03923076923076923,0.03461538461538462,0.14076923076923079,0.2103846153846154,0.07076923076923076,0.9184615384615386,0.023076923076923078,0.02846153846153846,0.2619230769230769,0.011923076923076923,0.0,0.0,0.2276923076923077,0.05384615384615385,0.015,0.31346153846153846,0.12269230769230768
21,219.4,43.5,186.4,82.5,15.6,129.4,108.6,5.5,0.0,0.0,38.3,100.5,14.4,3.3,0.0,68.2,17.9,6.3,7.1,0.0,0.0,0.0,0.0,0.0,0.0,23.7,3.9,15.5,136.4,40.3,32.8,129.9,23.7,31.5,52.2,107.9,0.0,0.0,19.7,43.5,262.9,25.9,29.7,20.7,17.5,34.9,27.1,29.4,14.2,11.0,32.2,22.6,231.8,10.0,6.8,89.3,0.6,0.0,0.0,67.2,28.0,7.4,22.1,37.3,0.8345378470901484,0.16546215290985167,0.7090148345378472,0.3138075313807532,0.0593381513883606,0.492202358311145,0.41308482312666417,0.020920502092050212,0.0,0.0,0.14568276911373146,0.38227462913655386,0.054773678204640554,0.012552301255230125,0.0,0.2594142259414226,0.06808672499049068,0.02396348421453024,0.02700646633701027,0.0,0.0,0.0,0.0,0.0,0.0,0.09014834537847091,0.01483453784709015,0.05895777862305059,0.5188284518828452,0.15329022441993154,0.12476226702168125,0.494104222137695,0.09014834537847091,0.11981742107265121,0.198554583491822,0.41042221376949417,0.0,0.0,0.07493343476607076,0.16546215290985167,0.09851654621529099,0.11297071129707113,0.0787371624191708,0.06656523392925068,0.13275009509319133,0.10308101939901104,0.11182959300114112,0.05401293267402054,0.041841004184100423,0.12248003042982125,0.08596424496006087,0.881704069988589,0.038037276531000384,0.02586534804108026,0.33967287942183344,0.002282236591860023,0.0,0.0,0.2556104982883226,0.10650437428680107,0.028147584632940287,0.08406238113351085,0.14187904146063143
22,268.9,36.8,216.3,91.8,10.7,126.8,139.1,23.4,0.0,0.0,36.5,99.4,51.2,4.5,0.0,96.7,0.0,9.1,0.0,0.0,0.0,0.0,0.0,6.4,11.4,39.0,5.5,17.5,141.2,36.0,29.3,135.5,11.1,20.4,35.8,82.4,0.0,0.0,11.3,36.8,310.6,46.3,25.1,23.4,15.0,18.9,58.6,19.6,44.6,15.3,18.1,19.6,261.7,17.1,5.4,105.3,1.3,0.0,0.0,50.4,18.8,7.7,103.7,23.7,0.8657437218287185,0.11848036059240179,0.6963940759819703,0.2955569864777849,0.034449452672247256,0.4082421120412105,0.44784288473921435,0.07533805537669026,0.0,0.0,0.11751448808757244,0.3200257566001288,0.1648422408242112,0.014488087572440437,0.0,0.31133290405666453,0.0,0.02929813264649066,0.0,0.0,0.0,0.0,0.0,0.0206052801030264,0.03670315518351577,0.1255634256278171,0.01770766258853831,0.05634256278171281,0.4546039922730199,0.1159047005795235,0.09433354797166774,0.436252414681262,0.03573728267868641,0.06567933032839664,0.11526078557630391,0.2652929813264649,0.0,0.0,0.03638119768190599,0.11848036059240179,0.1490663232453316,0.08081133290405666,0.07533805537669026,0.04829362524146812,0.06084996780424983,0.18866709594333547,0.06310367031551835,0.14359304571796522,0.04925949774629749,0.05827430779137154,0.06310367031551835,0.8425627817128138,0.05505473277527367,0.017385705086928525,0.33902124919510623,0.004185447520927237,0.0,0.0,0.16226658081133288,0.06052801030264005,0.024790727623953637,0.33386992916934966,0.07630392788151963
23,283.9,14.0,201.6,102.5,5.6,146.5,120.7,31.7,0.0,0.0,35.0,99.8,23.4,3.5,0.0,102.7,5.5,0.0,0.0,0.0,0.0,0.0,0.0,8.9,12.8,20.9,10.9,15.7,140.0,39.9,31.9,132.8,9.5,60.3,68.6,126.8,0.0,0.0,20.8,14.0,293.3,51.4,31.4,21.0,16.7,32.2,17.8,21.5,46.0,21.8,49.5,28.2,267.6,7.9,7.0,87.1,3.3,0.0,0.0,65.1,23.4,2.5,103.7,26.2,0.9679509035117626,0.0477326968973747,0.6873508353221957,0.34947153085577903,0.019093078758949878,0.4994885782475281,0.41152403682236616,0.10808046368905556,0.0,0.0,0.11933174224343675,0.34026593931128535,0.07978179338561199,0.011933174224343675,0.0,0.35015342652574155,0.018752130923968633,0.0,0.0,0.0,0.0,0.0,0.0,0.03034435731333106,0.043641322877599725,0.0712580975110808,0.037163314012956014,0.05352881009205591,0.477326968973747,0.1360381861575179,0.10876235935901805,0.4527787248550972,0.03239004432321855,0.20559154449369244,0.233890214797136,0.43232185475622226,0.0,0.0,0.07091714967609955,0.0477326968973747,0.1752471871803614,0.10705762018411182,0.07159904534606205,0.05693828844186839,0.10978520286396182,0.06068871462666212,0.0733037845209683,0.15683600409137402,0.07432662802591203,0.1687691783157177,0.09614728946471189,0.9123764064098193,0.026934878963518583,0.02386634844868735,0.2969655642686669,0.011251278554381178,0.0,0.0,0.22195704057279234,0.07978179338561199,0.008523695874531197,0.35356290487555403,0.08932833276508693
24,218.0,24.6,177.0,69.8,26.4,100.4,91.7,34.9,0.0,0.0,24.0,94.7,31.5,8.4,14.6,77.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,18.9,17.2,18.1,133.9,27.4,22.0,133.6,20.9,43.0,46.8,134.9,1.5,0.0,23.9,24.6,253.5,21.1,17.8,34.3,15.5,13.2,34.6,35.2,25.7,19.2,17.3,31.3,203.8,10.4,4.0,62.2,2.0,0.0,0.0,65.1,21.6,5.4,57.9,32.5,0.8599605522682445,0.0970414201183432,0.6982248520710059,0.27534516765285993,0.10414201183431952,0.3960552268244576,0.36173570019723866,0.13767258382642997,0.0,0.0,0.09467455621301775,0.3735700197238659,0.1242603550295858,0.033136094674556214,0.05759368836291913,0.3053254437869823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08284023668639054,0.0,0.07455621301775148,0.06785009861932939,0.07140039447731757,0.5282051282051282,0.10808678500986192,0.08678500986193294,0.5270216962524654,0.08244575936883629,0.16962524654832348,0.1846153846153846,0.5321499013806706,0.005917159763313609,0.0,0.09428007889546351,0.0970414201183432,0.08323471400394478,0.07021696252465484,0.13530571992110452,0.0611439842209073,0.05207100591715976,0.13648915187376726,0.1388560157790927,0.10138067061143984,0.0757396449704142,0.06824457593688363,0.12347140039447732,0.8039447731755425,0.041025641025641026,0.015779092702169626,0.2453648915187377,0.007889546351084813,0.0,0.0,0.25680473372781065,0.08520710059171598,0.021301775147928994,0.22840236686390533,0.1282051282051282
25,240.9,38.1,210.4,68.7,9.7,143.8,88.1,30.8,0.0,0.0,13.1,76.4,44.0,37.8,7.2,95.9,0.0,0.0,0.0,0.0,7.0,0.0,2.6,7.1,11.3,32.7,5.5,26.2,146.4,45.7,27.8,123.8,15.9,39.6,70.7,109.3,2.8,0.0,12.8,38.1,279.1,62.2,15.9,35.8,9.5,18.9,40.0,15.4,32.7,38.8,36.5,49.6,233.1,3.8,3.7,111.3,4.2,0.0,0.0,54.3,23.0,7.3,45.2,21.1,0.8631314940881404,0.13651021139376568,0.753851666069509,0.24614833393049085,0.03475456825510569,0.5152275170189896,0.3156574704407022,0.11035471157291293,0.0,0.0,0.04693658187029738,0.27373701182371907,0.15764958796130418,0.13543532783948403,0.025797205302758867,0.34360444285202435,0.0,0.0,0.0,0.0,0.02508061626657112,0.0,0.009315657470440702,0.02543891078466499,0.040487280544607665,0.11716230741669653,0.019706198495163023,0.09387316374059476,0.5245431744894303,0.16374059476890004,0.09960587603009674,0.4435686134002149,0.05696882837692583,0.14188462916517378,0.25331422429236833,0.3916159082766033,0.010032246506628447,0.0,0.04586169831601576,0.13651021139376568,0.2228591902543891,0.05696882837692583,0.12826943747760658,0.03403797921891795,0.06771766391974202,0.14331780723754925,0.05517735578645647,0.11716230741669653,0.13901827302042277,0.1307774991042637,0.17771408097456107,0.8351845216768182,0.013615191687567179,0.013256897169473307,0.3987817986384808,0.015048369759942672,0.0,0.0,0.1945539233249731,0.08240773916159082,0.02615549982085274,0.16194912217843066,0.07560014331780723
