age,gender,level,value
0,Man,No condition,0.0
0,Man,All conditions,0.0
0,Woman,No condition,0.0
0,Woman,All conditions,0.0
0,Non-binary,No condition,0.0
0,Non-binary,All conditions,0.0
0,Total,No condition,0.0
0,Total,All conditions,0.0
1,Man,No condition,0.0
1,Man,All conditions,0.0
1,Woman,No condition,0.0
1,Woman,All conditions,0.0
1,Non-binary,No condition,0.0
1,Non-binary,All conditions,0.0
1,Total,No condition,0.0
1,Total,All conditions,0.0
2,Man,No condition,0.0
2,Man,All conditions,0.0
2,Woman,No condition,0.0
2,Woman,All conditions,0.0
2,Non-binary,No condition,0.0
2,Non-binary,All conditions,0.0
2,Total,No condition,0.0
2,Total,All conditions,0.0
3,Man,No condition,0.0
3,Man,All conditions,0.0
3,Woman,No condition,0.0
3,Woman,All conditions,0.0
3,Non-binary,No condition,0.0
3,Non-binary,All conditions,0.0
3,Total,No condition,0.0
3,Total,All conditions,0.0
4,Man,No condition,0.0
4,Man,All conditions,0.0
4,Woman,No condition,0.0
4,Woman,All conditions,0.0
4,Non-binary,No condition,0.0
4,Non-binary,All conditions,0.0
4,Total,No condition,0.0
4,Total,All conditions,0.0
5,Man,No condition,0.0
5,Man,All conditions,0.0
5,Woman,No condition,0.0
5,Woman,All conditions,0.0
5,Non-binary,No condition,0.0
5,Non-binary,All conditions,0.0
5,Total,No condition,0.0
5,Total,All conditions,0.0
6,Man,No condition,0.0
6,Man,All conditions,0.0
6,Woman,No condition,0.0
6,Woman,All conditions,0.0
6,Non-binary,No condition,0.0
6,Non-binary,All conditions,0.0
6,Total,No condition,0.0
6,Total,All conditions,0.0
7,Man,No condition,0.0
7,Man,All conditions,0.0
7,Woman,No condition,0.0
7,Woman,All conditions,0.0
7,Non-binary,No condition,0.0
7,Non-binary,All conditions,0.0
7,Total,No condition,0.0
7,Total,All conditions,0.0
8,Man,No condition,0.0
8,Man,All conditions,0.0
8,Woman,No condition,0.0
8,Woman,All conditions,0.0
8,Non-binary,No condition,0.0
8,Non-binary,All conditions,0.0
8,Total,No condition,0.0
8,Total,All conditions,0.0
9,Man,No condition,0.0
9,Man,All conditions,0.0
9,Woman,No condition,0.0
9,Woman,All conditions,0.0
9,Non-binary,No condition,0.0
9,Non-binary,All conditions,0.0
9,Total,No condition,0.0
9,Total,All conditions,0.0
10,Man,No condition,0.0
10,Man,All conditions,0.0
10,Woman,No condition,0.0
