age,gender,level,value
0,Man,Met 2014 physical activity guidelines,0.0
0,Man,Did not meet 2014 physical activity guidelines,0.0
0,Woman,Met 2014 physical activity guidelines,0.0
0,Woman,Did not meet 2014 physical activity guidelines,0.0
0,Non-binary,Met 2014 physical activity guidelines,0.0
0,Non-binary,Did not meet 2014 physical activity guidelines,0.0
0,Total,Met 2014 physical activity guidelines,0.0
0,Total,Did not meet 2014 physical activity guidelines,0.0
1,Man,Met 2014 physical activity guidelines,0.0
1,Man,Did not meet 2014 physical activity guidelines,0.0
1,Woman,Met 2014 physical activity guidelines,0.0
1,Woman,Did not meet 2014 physical activity guidelines,0.0
1,Non-binary,Met 2014 physical activity guidelines,0.0
1,Non-binary,Did not meet 2014 physical activity guidelines,0.0
1,Total,Met 2014 physical activity guidelines,0.0
1,Total,Did not meet 2014 physical activity guidelines,0.0
2,Man,Met 2014 physical activity guidelines,0.0
2,Man,Did not meet 2014 physical activity guidelines,0.0
2,Woman,Met 2014 physical activity guidelines,0.0
2,Woman,Did not meet 2014 physical activity guidelines,0.0
2,Non-binary,Met 2014 physical activity guidelines,0.0
2,Non-binary,Did not meet 2014 physical activity guidelines,0.0
2,Total,Met 2014 physical activity guidelines,0.0
2,Total,Did not meet 2014 physical activity guidelines,0.0
3,Man,Met 2014 physical activity guidelines,0.0
3,Man,Did not meet 2014 physical activity guidelines,0.0
3,Woman,Met 2014 physical activity guidelines,0.0
3,Woman,Did not meet 2014 physical activity guidelines,0.0
3,Non-binary,Met 2014 physical activity guidelines,0.0
3,Non-binary,Did not meet 2014 physical activity guidelines,0.0
3,Total,Met 2014 physical activity guidelines,0.0
3,Total,Did not meet 2014 physical activity guidelines,0.0
4,Man,Met 2014 physical activity guidelines,0.0
4,Man,Did not meet 2014 physical activity guidelines,0.0
4,Woman,Met 2014 physical activity guidelines,0.0
4,Woman,Did not meet 2014 physical activity guidelines,0.0
4,Non-binary,Met 2014 physical activity guidelines,0.0
4,Non-binary,Did not meet 2014 physical activity guidelines,0.0
