age,gender,level,value
0,Man,Exceeded guideline,0.0
0,Man,Did not exceed guideline,0.0
0,Man,Consumed alcohol 12 or more months ago,0.0
0,Man,Never consumed alcohol,0.0
0,Man,Risk level not known,0.0
0,Man,Time since last consumed alcohol not known,0.0
0,Woman,Exceeded guideline,0.0
0,Woman,Did not exceed guideline,0.0
0,Woman,Consumed alcohol 12 or more months ago,0.0
0,Woman,Never consumed alcohol,0.0
0,Woman,Risk level not known,0.0
0,Woman,Time since last consumed alcohol not known,0.0
0,Non-binary,Exceeded guideline,0.0
0,Non-binary,Did not exceed guideline,0.0
0,Non-binary,Consumed alcohol 12 or more months ago,0.0
0,Non-binary,Never consumed alcohol,0.0
0,Non-binary,Risk level not known,0.0
0,Non-binary,Time since last consumed alcohol not known,0.0
0,Total,Exceeded guideline,0.0
0,Total,Did not exceed guideline,0.0
0,Total,Consumed alcohol 12 or more months ago,0.0
0,Total,Never consumed alcohol,0.0
0,Total,Risk level not known,0.0
0,Total,Time since last consumed alcohol not known,0.0
1,Man,Exceeded guideline,0.0
1,Man,Did not exceed guideline,0.0
1,Man,Consumed alcohol 12 or more months ago,0.0
1,Man,Never consumed alcohol,0.0
1,Man,Risk level not known,0.0
1,Man,Time since last consumed alcohol not known,0.0
1,Woman,Exceeded guideline,0.0
1,Woman,Did not exceed guideline,0.0
1,Woman,Consumed alcohol 12 or more months ago,0.0
1,Woman,Never consumed alcohol,0.0
1,Woman,Risk level not known,0.0
1,Woman,Time since last consumed alcohol not known,0.0
1,Non-binary,Exceeded guideline,0.0
1,Non-binary,Did not exceed guideline,0.0
1,Non-binary,Consumed alcohol 12 or more months ago,0.0
1,Non-binary,Never consumed alcohol,0.0
1,Non-binary,Risk level not known,0.0
1,Non-binary,Time since last consumed alcohol not known,0.0
1,Total,Exceeded guideline,0.0
1,Total,Did not exceed guideline,0.0
1,Total,Consumed alcohol 12 or more months ago,0.0
1,Total,Never consumed alcohol,0.0
1,Total,Risk level not known,0.0
1,Total,Time since last consumed alcohol not known,0.0
2,Man,Exceeded guideline,0.0
2,Man,Did not exceed guideline,0.0
2,Man,Consumed alcohol 12 or more months ago,0.0
2,Man,Never consumed alcohol,0.0
2,Man,Risk level not known,0.0
2,Man,Time since last consumed alcohol not known,0.0
2,Woman,Exceeded guideline,0.0
2,Woman,Did not exceed guideline,0.0
2,Woman,Consumed alcohol 12 or more months ago,0.0
2,Woman,Never consumed alcohol,0.0
2,Woman,Risk level not known,0.0
2,Woman,Time since last consumed alcohol not known,0.0
2,Non-binary,Exceeded guideline,0.0
2,Non-binary,Did not exceed guideline,0.0
2,Non-binary,Consumed alcohol 12 or more months ago,0.0
2,Non-binary,Never consumed alcohol,0.0
2,Non-binary,Risk level not known,0.0
2,Non-binary,Time since last consumed alcohol not known,0.0
2,Total,Exceeded guideline,0.0
2,Total,Did not exceed guideline,0.0
2,Total,Consumed alcohol 12 or more months ago,0.0
2,Total,Never consumed alcohol,0.0
2,Total,Risk level not known,0.0
2,Total,Time since last consumed alcohol not known,0.0
3,Man,Exceeded guideline,0.0
3,Man,Did not exceed guideline,0.0
3,Man,Consumed alcohol 12 or more months ago,0.0
3,Man,Never consumed alcohol,0.0
3,Man,Risk level not known,0.0
3,Man,Time since last consumed alcohol not known,0.0
3,Woman,Exceeded guideline,0.0
3,Woman,Did not exceed guideline,0.0
3,Woman,Consumed alcohol 12 or more months ago,0.0
3,Woman,Never consumed alcohol,0.0
3,Woman,Risk level not known,0.0
3,Woman,Time since last consumed alcohol not known,0.0
3,Non-binary,Exceeded guideline,0.0
3,Non-binary,Did not exceed guideline,0.0
3,Non-binary,Consumed alcohol 12 or more months ago,0.0
3,Non-binary,Never consumed alcohol,0.0
3,Non-binary,Risk level not known,0.0
3,Non-binary,Time since last consumed alcohol not known,0.0
3,Total,Exceeded guideline,0.0
3,Total,Did not exceed guideline,0.0
3,Total,Consumed alcohol 12 or more months ago,0.0
3,Total,Never consumed alcohol,0.0
3,Total,Risk level not known,0.0
3,Total,Time since last consumed alcohol not known,0.0
4,Man,Exceeded guideline,0.0
4,Man,Did not exceed guideline,0.0
4,Man,Consumed alcohol 12 or more months ago,0.0
4,Man,Never consumed alcohol,0.0
4,Man,Risk level not known,0.0
4,Man,Time since last consumed alcohol not known,0.0
4,Woman,Exceeded guideline,0.0
4,Woman,Did not exceed guideline,0.0
4,Woman,Consumed alcohol 12 or more months ago,0.0
4,Woman,Never consumed alcohol,0.0
4,Woman,Risk level not known,0.0
4,Woman,Time since last consumed alcohol not known,0.0
4,Non-binary,Exceeded guideline,0.0
4,Non-binary,Did not exceed guideline,0.0
4,Non-binary,Consumed alcohol 12 or more months ago,0.0
4,Non-binary,Never consumed alcohol,0.0
4,Non-binary,Risk level not known,0.0
4,Non-binary,Time since last consumed alcohol not known,0.0
4,Total,Exceeded guideline,0.0
4,Total,Did not exceed guideline,0.0
4,Total,Consumed alcohol 12 or more months ago,0.0
4,Total,Never consumed alcohol,0.0
4,Total,Risk level not known,0.0
4,Total,Time since last consumed alcohol not known,0.0
5,Man,Exceeded guideline,0.0
5,Man,Did not exceed guideline,0.0
5,Man,Consumed alcohol 12 or more months ago,0.0
5,Man,Never consumed alcohol,0.0
5,Man,Risk level not known,0.0
5,Man,Time since last consumed alcohol not known,0.0
5,Woman,Exceeded guideline,0.0
5,Woman,Did not exceed guideline,0.0
5,Woman,Consumed alcohol 12 or more months ago,0.0
5,Woman,Never consumed alcohol,0.0
5,Woman,Risk level not known,0.0
5,Woman,Time since last consumed alcohol not known,0.0
5,Non-binary,Exceeded guideline,0.0
5,Non-binary,Did not exceed guideline,0.0
5,Non-binary,Consumed alcohol 12 or more months ago,0.0
5,Non-binary,Never consumed alcohol,0.0
5,Non-binary,Risk level not known,0.0
5,Non-binary,Time since last consumed alcohol not known,0.0
5,Total,Exceeded guideline,0.0
5,Total,Did not exceed guideline,0.0
5,Total,Consumed alcohol 12 or more months ago,0.0
5,Total,Never consumed alcohol,0.0
5,Total,Risk level not known,0.0
5,Total,Time since last consumed alcohol not known,0.0
6,Man,Exceeded guideline,0.0
6,Man,Did not exceed guideline,0.0
6,Man,Consumed alcohol 12 or more months ago,0.0
6,Man,Never consumed alcohol,0.0
6,Man,Risk level not known,0.0
6,Man,Time since last consumed alcohol not known,0.0
6,Woman,Exceeded guideline,0.0
6,Woman,Did not exceed guideline,0.0
6,Woman,Consumed alcohol 12 or more months ago,0.0
6,Woman,Never consumed alcohol,0.0
6,Woman,Risk level not known,0.0
6,Woman,Time since last consumed alcohol not known,0.0
6,Non-binary,Exceeded guideline,0.0
6,Non-binary,Did not exceed guideline,0.0
6,Non-binary,Consumed alcohol 12 or more months ago,0.0
6,Non-binary,Never consumed alcohol,0.0
6,Non-binary,Risk level not known,0.0
6,Non-binary,Time since last consumed alcohol not known,0.0
6,Total,Exceeded guideline,0.0
6,Total,Did not exceed guideline,0.0
6,Total,Consumed alcohol 12 or more months ago,0.0
6,Total,Never consumed alcohol,0.0
6,Total,Risk level not known,0.0
6,Total,Time since last consumed alcohol not known,0.0
7,Man,Exceeded guideline,0.0
7,Man,Did not exceed guideline,0.0
7,Man,Consumed alcohol 12 or more months ago,0.0
7,Man,Never consumed alcohol,0.0
7,Man,Risk level not known,0.0
7,Man,Time since last consumed alcohol not known,0.0
7,Woman,Exceeded guideline,0.0
7,Woman,Did not exceed guideline,0.0
7,Woman,Consumed alcohol 12 or more months ago,0.0
7,Woman,Never consumed alcohol,0.0
7,Woman,Risk level not known,0.0
7,Woman,Time since last consumed alcohol not known,0.0
7,Non-binary,Exceeded guideline,0.0
7,Non-binary,Did not exceed guideline,0.0
7,Non-binary,Consumed alcohol 12 or more months ago,0.0
7,Non-binary,Never consumed alcohol,0.0
7,Non-binary,Risk level not known,0.0
7,Non-binary,Time since last consumed alcohol not known,0.0
7,Total,Exceeded guideline,0.0
7,Total,Did not exceed guideline,0.0
7,Total,Consumed alcohol 12 or more months ago,0.0
7,Total,Never consumed alcohol,0.0
7,Total,Risk level not known,0.0
7,Total,Time since last consumed alcohol not known,0.0
8,Man,Exceeded guideline,0.0
8,Man,Did not exceed guideline,0.0
8,Man,Consumed alcohol 12 or more months ago,0.0
8,Man,Never consumed alcohol,0.0
8,Man,Risk level not known,0.0
8,Man,Time since last consumed alcohol not known,0.0
8,Woman,Exceeded guideline,0.0
8,Woman,Did not exceed guideline,0.0
8,Woman,Consumed alcohol 12 or more months ago,0.0
8,Woman,Never consumed alcohol,0.0
8,Woman,Risk level not known,0.0
8,Woman,Time since last consumed alcohol not known,0.0
8,Non-binary,Exceeded guideline,0.0
8,Non-binary,Did not exceed guideline,0.0
8,Non-binary,Consumed alcohol 12 or more months ago,0.0
8,Non-binary,Never consumed alcohol,0.0
8,Non-binary,Risk level not known,0.0
