age,gender,level,value
0,Man,Underweight Class 3,0.0
0,Man,Underweight Class 2,0.0
0,Man,Underweight Class 1,0.0
0,Man,Normal range,0.0
0,Man,Normal range (Adult only),0.0
0,Man,Overweight,0.0
0,Man,Obese Class 1,0.0
0,Man,Obese Class 2 (Adult only),0.0
0,Man,Obese Class 3 (Adult only),0.0
0,Woman,Underweight Class 3,0.0
0,Woman,Underweight Class 2,0.0
0,Woman,Underweight Class 1,0.0
0,Woman,Normal range,0.0
0,Woman,Normal range (Adult only),0.0
0,Woman,Overweight,0.0
0,Woman,Obese Class 1,0.0
0,Woman,Obese Class 2 (Adult only),0.0
0,Woman,Obese Class 3 (Adult only),0.0
0,Non-binary,Underweight Class 3,0.0
0,Non-binary,Underweight Class 2,0.0
0,Non-binary,Underweight Class 1,0.0
0,Non-binary,Normal range,0.0
0,Non-binary,Normal range (Adult only),0.0
0,Non-binary,Overweight,0.0
0,Non-binary,Obese Class 1,0.0
0,Non-binary,Obese Class 2 (Adult only),0.0
0,Non-binary,Obese Class 3 (Adult only),0.0
0,Total,Underweight Class 3,0.0
0,Total,Underweight Class 2,0.0
0,Total,Underweight Class 1,0.0
0,Total,Normal range,0.0
0,Total,Normal range (Adult only),0.0
0,Total,Overweight,0.0
0,Total,Obese Class 1,0.0
0,Total,Obese Class 2 (Adult only),0.0
0,Total,Obese Class 3 (Adult only),0.0
1,Man,Underweight Class 3,0.0
1,Man,Underweight Class 2,0.0
1,Man,Underweight Class 1,0.0
1,Man,Normal range,0.0
1,Man,Normal range (Adult only),0.0
1,Man,Overweight,0.0
1,Man,Obese Class 1,0.0
1,Man,Obese Class 2 (Adult only),0.0
1,Man,Obese Class 3 (Adult only),0.0
1,Woman,Underweight Class 3,0.0
1,Woman,Underweight Class 2,0.0
1,Woman,Underweight Class 1,0.0
1,Woman,Normal range,0.0
1,Woman,Normal range (Adult only),0.0
1,Woman,Overweight,0.0
1,Woman,Obese Class 1,0.0
1,Woman,Obese Class 2 (Adult only),0.0
1,Woman,Obese Class 3 (Adult only),0.0
1,Non-binary,Underweight Class 3,0.0
1,Non-binary,Underweight Class 2,0.0
1,Non-binary,Underweight Class 1,0.0
1,Non-binary,Normal range,0.0
1,Non-binary,Normal range (Adult only),0.0
1,Non-binary,Overweight,0.0
1,Non-binary,Obese Class 1,0.0
1,Non-binary,Obese Class 2 (Adult only),0.0
1,Non-binary,Obese Class 3 (Adult only),0.0
1,Total,Underweight Class 3,0.0
1,Total,Underweight Class 2,0.0
1,Total,Underweight Class 1,0.0
1,Total,Normal range,0.0
1,Total,Normal range (Adult only),0.0
1,Total,Overweight,0.0
1,Total,Obese Class 1,0.0
1,Total,Obese Class 2 (Adult only),0.0
1,Total,Obese Class 3 (Adult only),0.0
2,Man,Underweight Class 3,0.0
2,Man,Underweight Class 2,0.0
2,Man,Underweight Class 1,0.0
2,Man,Normal range,0.0
2,Man,Normal range (Adult only),0.0
2,Man,Overweight,0.0
2,Man,Obese Class 1,0.0
2,Man,Obese Class 2 (Adult only),0.0
2,Man,Obese Class 3 (Adult only),0.0
2,Woman,Underweight Class 3,0.0
2,Woman,Underweight Class 2,0.0
2,Woman,Underweight Class 1,0.0
2,Woman,Normal range,0.0
2,Woman,Normal range (Adult only),0.0
2,Woman,Overweight,0.0
2,Woman,Obese Class 1,0.0
2,Woman,Obese Class 2 (Adult only),0.0
2,Woman,Obese Class 3 (Adult only),0.0
2,Non-binary,Underweight Class 3,0.0
2,Non-binary,Underweight Class 2,0.0
2,Non-binary,Underweight Class 1,0.0
2,Non-binary,Normal range,0.0
2,Non-binary,Normal range (Adult only),0.0
2,Non-binary,Overweight,0.0
2,Non-binary,Obese Class 1,0.0
2,Non-binary,Obese Class 2 (Adult only),0.0
2,Non-binary,Obese Class 3 (Adult only),0.0
2,Total,Underweight Class 3,0.0
2,Total,Underweight Class 2,0.0
2,Total,Underweight Class 1,0.0
2,Total,Normal range,0.0
2,Total,Normal range (Adult only),0.0
2,Total,Overweight,0.0
2,Total,Obese Class 1,0.0
2,Total,Obese Class 2 (Adult only),0.0
2,Total,Obese Class 3 (Adult only),0.0
3,Man,Underweight Class 3,0.0
3,Man,Underweight Class 2,0.0
3,Man,Underweight Class 1,0.0
3,Man,Normal range,0.0
3,Man,Normal range (Adult only),0.0
3,Man,Overweight,0.0
3,Man,Obese Class 1,0.0
