age,gender,level,value
0,Man,Certain infectious and parasitic diseases,0.0
0,Man,Neoplasms,0.0
0,Man,Diseases of the blood and blood-forming organs,0.0
0,Man,"Endocrine, nutritional and metabolic disorders",0.0
0,Man,Mental and behavioural disorders,0.0
0,Man,Diseases of the nervous system,0.0
0,Man,Diseases of the eye and adnexa,0.0
0,Man,Diseases of the ear and mastoid process,0.0
0,Man,Diseases of the circulatory system,0.0
0,Man,Diseases of the respiratory system,0.0
0,Man,Diseases of the digestive system,0.0
0,Man,Diseases of the skin and subcutaneous tissue,0.0
0,Man,Diseases of the musculoskeletal system and connective tissue,0.0
0,Man,Diseases of genito-urinary system,0.0
0,Man,"Pregnancy, childbrith and the puerperium",0.0
0,Man,Certain conditions originating in the perinatal period,0.0
0,Man,"Congenital malformations, deformations and chromosomal abnormalities",0.0
0,Man,"Symptoms, signs and conditions not elsewhere classified",0.0
0,Man,"Injury, poisoning and certain other consequences of external causes",0.0
0,Man,Codes for special purposes,0.0
0,Woman,Certain infectious and parasitic diseases,0.0
0,Woman,Neoplasms,0.0
0,Woman,Diseases of the blood and blood-forming organs,0.0
0,Woman,"Endocrine, nutritional and metabolic disorders",0.0
0,Woman,Mental and behavioural disorders,0.0
0,Woman,Diseases of the nervous system,0.0
0,Woman,Diseases of the eye and adnexa,0.0
0,Woman,Diseases of the ear and mastoid process,0.0
0,Woman,Diseases of the circulatory system,0.0
0,Woman,Diseases of the respiratory system,0.0
0,Woman,Diseases of the digestive system,0.0
0,Woman,Diseases of the skin and subcutaneous tissue,0.0
0,Woman,Diseases of the musculoskeletal system and connective tissue,0.0
0,Woman,Diseases of genito-urinary system,0.0
0,Woman,"Pregnancy, childbrith and the puerperium",0.0
0,Woman,Certain conditions originating in the perinatal period,0.0
0,Woman,"Congenital malformations, deformations and chromosomal abnormalities",0.0
0,Woman,"Symptoms, signs and conditions not elsewhere classified",0.0
0,Woman,"Injury, poisoning and certain other consequences of external causes",0.0
0,Woman,Codes for special purposes,0.0
0,Non-binary,Certain infectious and parasitic diseases,0.0
0,Non-binary,Neoplasms,0.0
0,Non-binary,Diseases of the blood and blood-forming organs,0.0
0,Non-binary,"Endocrine, nutritional and metabolic disorders",0.0
0,Non-binary,Mental and behavioural disorders,0.0
0,Non-binary,Diseases of the nervous system,0.0
0,Non-binary,Diseases of the eye and adnexa,0.0
0,Non-binary,Diseases of the ear and mastoid process,0.0
0,Non-binary,Diseases of the circulatory system,0.0
0,Non-binary,Diseases of the respiratory system,0.0
0,Non-binary,Diseases of the digestive system,0.0
0,Non-binary,Diseases of the skin and subcutaneous tissue,0.0
0,Non-binary,Diseases of the musculoskeletal system and connective tissue,0.0
0,Non-binary,Diseases of genito-urinary system,0.0
0,Non-binary,"Pregnancy, childbrith and the puerperium",0.0
0,Non-binary,Certain conditions originating in the perinatal period,0.0
0,Non-binary,"Congenital malformations, deformations and chromosomal abnormalities",0.0
0,Non-binary,"Symptoms, signs and conditions not elsewhere classified",0.0
0,Non-binary,"Injury, poisoning and certain other consequences of external causes",0.0
0,Non-binary,Codes for special purposes,0.0
0,Total,Certain infectious and parasitic diseases,0.0
0,Total,Neoplasms,0.0
0,Total,Diseases of the blood and blood-forming organs,0.0
0,Total,"Endocrine, nutritional and metabolic disorders",0.0
0,Total,Mental and behavioural disorders,0.0
0,Total,Diseases of the nervous system,0.0
0,Total,Diseases of the eye and adnexa,0.0
0,Total,Diseases of the ear and mastoid process,0.0
0,Total,Diseases of the circulatory system,0.0
0,Total,Diseases of the respiratory system,0.0
0,Total,Diseases of the digestive system,0.0
0,Total,Diseases of the skin and subcutaneous tissue,0.0
0,Total,Diseases of the musculoskeletal system and connective tissue,0.0
0,Total,Diseases of genito-urinary system,0.0
0,Total,"Pregnancy, childbrith and the puerperium",0.0
0,Total,Certain conditions originating in the perinatal period,0.0
0,Total,"Congenital malformations, deformations and chromosomal abnormalities",0.0
0,Total,"Symptoms, signs and conditions not elsewhere classified",0.0
0,Total,"Injury, poisoning and certain other consequences of external causes",0.0
0,Total,Codes for special purposes,0.0
1,Man,Certain infectious and parasitic diseases,0.0
1,Man,Neoplasms,0.0
1,Man,Diseases of the blood and blood-forming organs,0.0
1,Man,"Endocrine, nutritional and metabolic disorders",0.0
1,Man,Mental and behavioural disorders,0.0
1,Man,Diseases of the nervous system,0.0
1,Man,Diseases of the eye and adnexa,0.0
1,Man,Diseases of the ear and mastoid process,0.0
1,Man,Diseases of the circulatory system,0.0
1,Man,Diseases of the respiratory system,0.0
1,Man,Diseases of the digestive system,0.0
1,Man,Diseases of the skin and subcutaneous tissue,0.0
1,Man,Diseases of the musculoskeletal system and connective tissue,0.0
1,Man,Diseases of genito-urinary system,0.0
1,Man,"Pregnancy, childbrith and the puerperium",0.0
1,Man,Certain conditions originating in the perinatal period,0.0
1,Man,"Congenital malformations, deformations and chromosomal abnormalities",0.0
1,Man,"Symptoms, signs and conditions not elsewhere classified",0.0
1,Man,"Injury, poisoning and certain other consequences of external causes",0.0
1,Man,Codes for special purposes,0.0
1,Woman,Certain infectious and parasitic diseases,0.0
1,Woman,Neoplasms,0.0
1,Woman,Diseases of the blood and blood-forming organs,0.0
1,Woman,"Endocrine, nutritional and metabolic disorders",0.0
1,Woman,Mental and behavioural disorders,0.0
1,Woman,Diseases of the nervous system,0.0
1,Woman,Diseases of the eye and adnexa,0.0
1,Woman,Diseases of the ear and mastoid process,0.0
1,Woman,Diseases of the circulatory system,0.0
1,Woman,Diseases of the respiratory system,0.0
1,Woman,Diseases of the digestive system,0.0
1,Woman,Diseases of the skin and subcutaneous tissue,0.0
1,Woman,Diseases of the musculoskeletal system and connective tissue,0.0
1,Woman,Diseases of genito-urinary system,0.0
1,Woman,"Pregnancy, childbrith and the puerperium",0.0
1,Woman,Certain conditions originating in the perinatal period,0.0
1,Woman,"Congenital malformations, deformations and chromosomal abnormalities",0.0
1,Woman,"Symptoms, signs and conditions not elsewhere classified",0.0
1,Woman,"Injury, poisoning and certain other consequences of external causes",0.0
1,Woman,Codes for special purposes,0.0
1,Non-binary,Certain infectious and parasitic diseases,0.0
1,Non-binary,Neoplasms,0.0
1,Non-binary,Diseases of the blood and blood-forming organs,0.0
1,Non-binary,"Endocrine, nutritional and metabolic disorders",0.0
1,Non-binary,Mental and behavioural disorders,0.0
1,Non-binary,Diseases of the nervous system,0.0
1,Non-binary,Diseases of the eye and adnexa,0.0
1,Non-binary,Diseases of the ear and mastoid process,0.0
1,Non-binary,Diseases of the circulatory system,0.0
1,Non-binary,Diseases of the respiratory system,0.0
1,Non-binary,Diseases of the digestive system,0.0
1,Non-binary,Diseases of the skin and subcutaneous tissue,0.0
1,Non-binary,Diseases of the musculoskeletal system and connective tissue,0.0
1,Non-binary,Diseases of genito-urinary system,0.0
1,Non-binary,"Pregnancy, childbrith and the puerperium",0.0
1,Non-binary,Certain conditions originating in the perinatal period,0.0
1,Non-binary,"Congenital malformations, deformations and chromosomal abnormalities",0.0
1,Non-binary,"Symptoms, signs and conditions not elsewhere classified",0.0
1,Non-binary,"Injury, poisoning and certain other consequences of external causes",0.0
1,Non-binary,Codes for special purposes,0.0
1,Total,Certain infectious and parasitic diseases,0.0
1,Total,Neoplasms,0.0
1,Total,Diseases of the blood and blood-forming organs,0.0
1,Total,"Endocrine, nutritional and metabolic disorders",0.0
1,Total,Mental and behavioural disorders,0.0
1,Total,Diseases of the nervous system,0.0
1,Total,Diseases of the eye and adnexa,0.0
1,Total,Diseases of the ear and mastoid process,0.0
1,Total,Diseases of the circulatory system,0.0
1,Total,Diseases of the respiratory system,0.0
1,Total,Diseases of the digestive system,0.0
1,Total,Diseases of the skin and subcutaneous tissue,0.0
1,Total,Diseases of the musculoskeletal system and connective tissue,0.0
1,Total,Diseases of genito-urinary system,0.0
1,Total,"Pregnancy, childbrith and the puerperium",0.0
1,Total,Certain conditions originating in the perinatal period,0.0
1,Total,"Congenital malformations, deformations and chromosomal abnormalities",0.0
1,Total,"Symptoms, signs and conditions not elsewhere classified",0.0
1,Total,"Injury, poisoning and certain other consequences of external causes",0.0
1,Total,Codes for special purposes,0.0
2,Man,Certain infectious and parasitic diseases,0.0
2,Man,Neoplasms,0.0
2,Man,Diseases of the blood and blood-forming organs,0.0
2,Man,"Endocrine, nutritional and metabolic disorders",0.0
2,Man,Mental and behavioural disorders,0.0
2,Man,Diseases of the nervous system,0.0
2,Man,Diseases of the eye and adnexa,0.0
2,Man,Diseases of the ear and mastoid process,0.0
