age,gender,level,value
0,Man,No condition,0.0
0,Woman,No condition,0.0
0,Non-binary,No condition,0.0
0,Total,No condition,0.0
1,Man,No condition,0.0
1,Woman,No condition,0.0
1,Non-binary,No condition,0.0
1,Total,No condition,0.0
2,Man,No condition,0.0
2,Woman,No condition,0.0
2,Non-binary,No condition,0.0
2,Total,No condition,0.0
3,Man,No condition,0.0
3,Woman,No condition,0.0
3,Non-binary,No condition,0.0
3,Total,No condition,0.0
4,Man,No condition,0.0
4,Woman,No condition,0.0
4,Non-binary,No condition,0.0
4,Total,No condition,0.0
5,Man,No condition,0.0
5,Woman,No condition,0.0
5,Non-binary,No condition,0.0
5,Total,No condition,0.0
6,Man,No condition,0.0
6,Woman,No condition,0.0
6,Non-binary,No condition,0.0
6,Total,No condition,0.0
7,Man,No condition,0.0
7,Woman,No condition,0.0
7,Non-binary,No condition,0.0
7,Total,No condition,0.0
8,Man,No condition,0.0
8,Woman,No condition,0.0
8,Non-binary,No condition,0.0
8,Total,No condition,0.0
9,Man,No condition,0.0
9,Woman,No condition,0.0
9,Non-binary,No condition,0.0
9,Total,No condition,0.0
10,Man,No condition,0.0
10,Woman,No condition,0.0
10,Non-binary,No condition,0.0
10,Total,No condition,0.0
11,Man,No condition,0.0
11,Woman,No condition,0.0
11,Non-binary,No condition,0.0
11,Total,No condition,0.0
12,Man,No condition,0.0
12,Woman,No condition,0.0
12,Non-binary,No condition,0.0
12,Total,No condition,0.0
13,Man,No condition,0.0
13,Woman,No condition,0.0
13,Non-binary,No condition,0.0
13,Total,No condition,0.0
14,Man,No condition,0.0
14,Woman,No condition,0.0
14,Non-binary,No condition,0.0
14,Total,No condition,0.0
15,Man,No condition,0.0
15,Woman,No condition,0.0
15,Non-binary,No condition,0.0
15,Total,No condition,0.0
16,Man,No condition,13.2
16,Woman,No condition,6.8
16,Non-binary,No condition,0.0
16,Total,No condition,19.6
17,Man,No condition,13.7
17,Woman,No condition,11.5
17,Non-binary,No condition,0.0
17,Total,No condition,19.4
18,Man,No condition,56.5
18,Woman,No condition,26.3
18,Non-binary,No condition,0.0
18,Total,No condition,95.3
19,Man,No condition,38.3
19,Woman,No condition,22.1
19,Non-binary,No condition,0.0
19,Total,No condition,60.3
20,Man,No condition,38.8
20,Woman,No condition,13.6
20,Non-binary,No condition,0.0
20,Total,No condition,44.0
21,Man,No condition,36.3
21,Woman,No condition,14.0
21,Non-binary,No condition,0.0
21,Total,No condition,43.5
22,Man,No condition,21.9
22,Woman,No condition,10.3
22,Non-binary,No condition,0.0
22,Total,No condition,36.8
23,Man,No condition,9.9
23,Woman,No condition,0.0
23,Non-binary,No condition,0.0
23,Total,No condition,14.0
24,Man,No condition,18.2
24,Woman,No condition,5.8
24,Non-binary,No condition,0.0
24,Total,No condition,24.6
25,Man,No condition,39.7
25,Woman,No condition,6.0
25,Non-binary,No condition,0.0
25,Total,No condition,38.1
26,Man,No condition,28.0
26,Woman,No condition,11.7
26,Non-binary,No condition,0.0
26,Total,No condition,39.9
27,Man,No condition,27.1
27,Woman,No condition,25.6
27,Non-binary,No condition,0.0
27,Total,No condition,58.3
28,Man,No condition,28.3
28,Woman,No condition,32.0
28,Non-binary,No condition,0.0
28,Total,No condition,62.7
29,Man,No condition,40.5
29,Woman,No condition,6.1
29,Non-binary,No condition,0.0
29,Total,No condition,45.6
30,Man,No condition,43.2
30,Woman,No condition,25.2
30,Non-binary,No condition,0.0
30,Total,No condition,77.5
31,Man,No condition,36.1
31,Woman,No condition,13.6
31,Non-binary,No condition,0.0
31,Total,No condition,43.7
32,Man,No condition,37.8
32,Woman,No condition,24.0
32,Non-binary,No condition,0.0
32,Total,No condition,67.0
33,Man,No condition,14.2
33,Woman,No condition,20.1
33,Non-binary,No condition,0.0
33,Total,No condition,36.2
34,Man,No condition,25.6
34,Woman,No condition,25.7
34,Non-binary,No condition,0.0
34,Total,No condition,55.1
35,Man,No condition,19.4
35,Woman,No condition,20.4
35,Non-binary,No condition,0.0
35,Total,No condition,40.0
36,Man,No condition,17.0
36,Woman,No condition,7.5
36,Non-binary,No condition,0.0
36,Total,No condition,22.0
37,Man,No condition,21.7
37,Woman,No condition,10.0
37,Non-binary,No condition,0.0
37,Total,No condition,28.7
38,Man,No condition,21.5
38,Woman,No condition,9.4
38,Non-binary,No condition,0.0
38,Total,No condition,32.7
39,Man,No condition,19.6
39,Woman,No condition,15.2
39,Non-binary,No condition,0.0
39,Total,No condition,36.3
40,Man,No condition,28.5
40,Woman,No condition,21.4
