age,gender,level,value
0,Man,Man,0.0
0,Woman,Woman,0.0
0,Non-binary,Non-binary,0.0
0,Total,Total,0.0
1,Man,Man,0.0
1,Woman,Woman,0.0
1,Non-binary,Non-binary,0.0
1,Total,Total,0.0
2,Man,Man,0.0
2,Woman,Woman,0.0
2,Non-binary,Non-binary,0.0
2,Total,Total,0.0
3,Man,Man,0.0
3,Woman,Woman,0.0
3,Non-binary,Non-binary,0.0
3,Total,Total,0.0
4,Man,Man,0.0
4,Woman,Woman,0.0
4,Non-binary,Non-binary,0.0
4,Total,Total,0.0
5,Man,Man,0.0
5,Woman,Woman,0.0
5,Non-binary,Non-binary,0.0
5,Total,Total,0.0
6,Man,Man,0.0
6,Woman,Woman,0.0
6,Non-binary,Non-binary,0.0
6,Total,Total,0.0
7,Man,Man,0.0
7,Woman,Woman,0.0
7,Non-binary,Non-binary,0.0
7,Total,Total,0.0
8,Man,Man,0.0
8,Woman,Woman,0.0
8,Non-binary,Non-binary,0.0
8,Total,Total,0.0
9,Man,Man,0.0
9,Woman,Woman,0.0
9,Non-binary,Non-binary,0.0
9,Total,Total,0.0
10,Man,Man,0.0
10,Woman,Woman,0.0
10,Non-binary,Non-binary,0.0
10,Total,Total,0.0
11,Man,Man,0.0
11,Woman,Woman,0.0
11,Non-binary,Non-binary,0.0
11,Total,Total,0.0
12,Man,Man,0.0
12,Woman,Woman,0.0
12,Non-binary,Non-binary,0.0
12,Total,Total,0.0
13,Man,Man,0.0
13,Woman,Woman,0.0
13,Non-binary,Non-binary,0.0
13,Total,Total,0.0
14,Man,Man,0.0
14,Woman,Woman,0.0
14,Non-binary,Non-binary,0.0
14,Total,Total,0.0
15,Man,Man,0.0
15,Woman,Woman,0.0
15,Non-binary,Non-binary,0.0
15,Total,Total,0.0
16,Man,Man,54.7
16,Woman,Woman,35.5
16,Non-binary,Non-binary,0.0
16,Total,Total,93.4
17,Man,Man,70.9
17,Woman,Woman,73.2
17,Non-binary,Non-binary,7.1
17,Total,Total,143.3
18,Man,Man,179.7
18,Woman,Woman,141.5
18,Non-binary,Non-binary,0.0
18,Total,Total,337.5
19,Man,Man,148.3
19,Woman,Woman,168.0
19,Non-binary,Non-binary,0.0
19,Total,Total,309.2
20,Man,Man,106.8
20,Woman,Woman,149.4
20,Non-binary,Non-binary,3.4
20,Total,Total,260.0
21,Man,Man,147.7
21,Woman,Woman,107.0
21,Non-binary,Non-binary,5.1
21,Total,Total,262.9
22,Man,Man,149.7
22,Woman,Woman,140.6
22,Non-binary,Non-binary,6.0
22,Total,Total,310.6
23,Man,Man,152.8
23,Woman,Woman,136.1
23,Non-binary,Non-binary,0.0
23,Total,Total,293.3
24,Man,Man,118.5
24,Woman,Woman,136.1
24,Non-binary,Non-binary,0.0
24,Total,Total,253.5
25,Man,Man,163.2
25,Woman,Woman,112.3
25,Non-binary,Non-binary,0.0
25,Total,Total,279.1
26,Man,Man,135.7
26,Woman,Woman,137.6
26,Non-binary,Non-binary,0.0
26,Total,Total,271.3
27,Man,Man,150.2
27,Woman,Woman,175.2
27,Non-binary,Non-binary,0.0
27,Total,Total,335.3
28,Man,Man,183.1
28,Woman,Woman,159.4
28,Non-binary,Non-binary,19.4
28,Total,Total,352.1
29,Man,Man,204.0
29,Woman,Woman,170.7
29,Non-binary,Non-binary,0.0
29,Total,Total,373.5
30,Man,Man,227.5
30,Woman,Woman,158.9
30,Non-binary,Non-binary,1.9
30,Total,Total,387.5
31,Man,Man,162.1
31,Woman,Woman,237.0
31,Non-binary,Non-binary,0.0
31,Total,Total,399.2
32,Man,Man,175.3
32,Woman,Woman,211.3
32,Non-binary,Non-binary,0.0
32,Total,Total,386.6
33,Man,Man,184.5
33,Woman,Woman,201.7
33,Non-binary,Non-binary,0.0
33,Total,Total,381.4
34,Man,Man,150.7
34,Woman,Woman,208.2
34,Non-binary,Non-binary,0.0
34,Total,Total,367.5
35,Man,Man,167.7
35,Woman,Woman,186.6
35,Non-binary,Non-binary,0.0
35,Total,Total,355.5
36,Man,Man,114.0
36,Woman,Woman,163.1
36,Non-binary,Non-binary,0.0
36,Total,Total,275.9
37,Man,Man,161.3
37,Woman,Woman,170.6
37,Non-binary,Non-binary,3.1
37,Total,Total,334.1
38,Man,Man,179.3
38,Woman,Woman,192.0
38,Non-binary,Non-binary,0.0
38,Total,Total,368.3
39,Man,Man,144.6
39,Woman,Woman,182.0
39,Non-binary,Non-binary,0.0
39,Total,Total,331.0
40,Man,Man,221.7
40,Woman,Woman,176.1
40,Non-binary,Non-binary,0.0
40,Total,Total,401.9
41,Man,Man,168.1
41,Woman,Woman,164.6
41,Non-binary,Non-binary,0.0
41,Total,Total,341.0
42,Man,Man,183.4
42,Woman,Woman,129.2
42,Non-binary,Non-binary,3.0
42,Total,Total,323.4
43,Man,Man,167.8
43,Woman,Woman,182.8
43,Non-binary,Non-binary,0.0
