age,gender,level,value
0,Man,Decile 1 (lowest),0.0
0,Man,Decile 2,0.0
0,Man,Decile 3,0.0
0,Man,Decile 4,0.0
0,Man,Decile 5,0.0
0,Man,Decile 6,0.0
0,Man,Decile 7,0.0
0,Man,Decile 8,0.0
0,Man,Decile 9,0.0
0,Man,Decile 10 (highest),0.0
0,Woman,Decile 1 (lowest),0.0
0,Woman,Decile 2,0.0
0,Woman,Decile 3,0.0
0,Woman,Decile 4,0.0
0,Woman,Decile 5,0.0
0,Woman,Decile 6,0.0
0,Woman,Decile 7,0.0
0,Woman,Decile 8,0.0
0,Woman,Decile 9,0.0
0,Woman,Decile 10 (highest),0.0
0,Non-binary,Decile 1 (lowest),0.0
0,Non-binary,Decile 2,0.0
0,Non-binary,Decile 3,0.0
0,Non-binary,Decile 4,0.0
0,Non-binary,Decile 5,0.0
0,Non-binary,Decile 6,0.0
0,Non-binary,Decile 7,0.0
0,Non-binary,Decile 8,0.0
0,Non-binary,Decile 9,0.0
0,Non-binary,Decile 10 (highest),0.0
0,Total,Decile 1 (lowest),0.0
0,Total,Decile 2,0.0
0,Total,Decile 3,0.0
0,Total,Decile 4,0.0
0,Total,Decile 5,0.0
0,Total,Decile 6,0.0
0,Total,Decile 7,0.0
0,Total,Decile 8,0.0
0,Total,Decile 9,0.0
0,Total,Decile 10 (highest),0.0
1,Man,Decile 1 (lowest),0.0
1,Man,Decile 2,0.0
1,Man,Decile 3,0.0
1,Man,Decile 4,0.0
1,Man,Decile 5,0.0
1,Man,Decile 6,0.0
1,Man,Decile 7,0.0
1,Man,Decile 8,0.0
1,Man,Decile 9,0.0
1,Man,Decile 10 (highest),0.0
1,Woman,Decile 1 (lowest),0.0
1,Woman,Decile 2,0.0
1,Woman,Decile 3,0.0
1,Woman,Decile 4,0.0
1,Woman,Decile 5,0.0
1,Woman,Decile 6,0.0
1,Woman,Decile 7,0.0
1,Woman,Decile 8,0.0
1,Woman,Decile 9,0.0
1,Woman,Decile 10 (highest),0.0
1,Non-binary,Decile 1 (lowest),0.0
1,Non-binary,Decile 2,0.0
1,Non-binary,Decile 3,0.0
1,Non-binary,Decile 4,0.0
1,Non-binary,Decile 5,0.0
1,Non-binary,Decile 6,0.0
1,Non-binary,Decile 7,0.0
1,Non-binary,Decile 8,0.0
1,Non-binary,Decile 9,0.0
1,Non-binary,Decile 10 (highest),0.0
1,Total,Decile 1 (lowest),0.0
1,Total,Decile 2,0.0
1,Total,Decile 3,0.0
1,Total,Decile 4,0.0
1,Total,Decile 5,0.0
1,Total,Decile 6,0.0
1,Total,Decile 7,0.0
1,Total,Decile 8,0.0
1,Total,Decile 9,0.0
1,Total,Decile 10 (highest),0.0
2,Man,Decile 1 (lowest),0.0
2,Man,Decile 2,0.0
2,Man,Decile 3,0.0
2,Man,Decile 4,0.0
2,Man,Decile 5,0.0
2,Man,Decile 6,0.0
2,Man,Decile 7,0.0
2,Man,Decile 8,0.0
2,Man,Decile 9,0.0
2,Man,Decile 10 (highest),0.0
2,Woman,Decile 1 (lowest),0.0
2,Woman,Decile 2,0.0
2,Woman,Decile 3,0.0
2,Woman,Decile 4,0.0
2,Woman,Decile 5,0.0
2,Woman,Decile 6,0.0
2,Woman,Decile 7,0.0
2,Woman,Decile 8,0.0
2,Woman,Decile 9,0.0
2,Woman,Decile 10 (highest),0.0
2,Non-binary,Decile 1 (lowest),0.0
2,Non-binary,Decile 2,0.0
2,Non-binary,Decile 3,0.0
2,Non-binary,Decile 4,0.0
2,Non-binary,Decile 5,0.0
2,Non-binary,Decile 6,0.0
2,Non-binary,Decile 7,0.0
2,Non-binary,Decile 8,0.0
2,Non-binary,Decile 9,0.0
2,Non-binary,Decile 10 (highest),0.0
2,Total,Decile 1 (lowest),0.0
2,Total,Decile 2,0.0
2,Total,Decile 3,0.0
2,Total,Decile 4,0.0
2,Total,Decile 5,0.0
2,Total,Decile 6,0.0
2,Total,Decile 7,0.0
2,Total,Decile 8,0.0
2,Total,Decile 9,0.0
2,Total,Decile 10 (highest),0.0
3,Man,Decile 1 (lowest),0.0
3,Man,Decile 2,0.0
3,Man,Decile 3,0.0
3,Man,Decile 4,0.0
3,Man,Decile 5,0.0
3,Man,Decile 6,0.0
3,Man,Decile 7,0.0
3,Man,Decile 8,0.0
3,Man,Decile 9,0.0
3,Man,Decile 10 (highest),0.0
3,Woman,Decile 1 (lowest),0.0
3,Woman,Decile 2,0.0
3,Woman,Decile 3,0.0
3,Woman,Decile 4,0.0
3,Woman,Decile 5,0.0
3,Woman,Decile 6,0.0
3,Woman,Decile 7,0.0
3,Woman,Decile 8,0.0
3,Woman,Decile 9,0.0
3,Woman,Decile 10 (highest),0.0
3,Non-binary,Decile 1 (lowest),0.0
3,Non-binary,Decile 2,0.0
3,Non-binary,Decile 3,0.0
3,Non-binary,Decile 4,0.0
3,Non-binary,Decile 5,0.0
3,Non-binary,Decile 6,0.0
3,Non-binary,Decile 7,0.0
3,Non-binary,Decile 8,0.0
3,Non-binary,Decile 9,0.0
3,Non-binary,Decile 10 (highest),0.0
3,Total,Decile 1 (lowest),0.0
3,Total,Decile 2,0.0
3,Total,Decile 3,0.0
3,Total,Decile 4,0.0
3,Total,Decile 5,0.0
3,Total,Decile 6,0.0
3,Total,Decile 7,0.0
3,Total,Decile 8,0.0
3,Total,Decile 9,0.0
3,Total,Decile 10 (highest),0.0
4,Man,Decile 1 (lowest),0.0
4,Man,Decile 2,0.0
4,Man,Decile 3,0.0
4,Man,Decile 4,0.0
4,Man,Decile 5,0.0
4,Man,Decile 6,0.0
4,Man,Decile 7,0.0
4,Man,Decile 8,0.0
4,Man,Decile 9,0.0
4,Man,Decile 10 (highest),0.0
4,Woman,Decile 1 (lowest),0.0
4,Woman,Decile 2,0.0
4,Woman,Decile 3,0.0
4,Woman,Decile 4,0.0
4,Woman,Decile 5,0.0
4,Woman,Decile 6,0.0
4,Woman,Decile 7,0.0
4,Woman,Decile 8,0.0
4,Woman,Decile 9,0.0
4,Woman,Decile 10 (highest),0.0
4,Non-binary,Decile 1 (lowest),0.0
4,Non-binary,Decile 2,0.0
4,Non-binary,Decile 3,0.0
4,Non-binary,Decile 4,0.0
4,Non-binary,Decile 5,0.0
4,Non-binary,Decile 6,0.0
4,Non-binary,Decile 7,0.0
4,Non-binary,Decile 8,0.0
4,Non-binary,Decile 9,0.0
4,Non-binary,Decile 10 (highest),0.0
4,Total,Decile 1 (lowest),0.0
4,Total,Decile 2,0.0
4,Total,Decile 3,0.0
4,Total,Decile 4,0.0
4,Total,Decile 5,0.0
4,Total,Decile 6,0.0
4,Total,Decile 7,0.0
4,Total,Decile 8,0.0
4,Total,Decile 9,0.0
4,Total,Decile 10 (highest),0.0
5,Man,Decile 1 (lowest),0.0
5,Man,Decile 2,0.0
5,Man,Decile 3,0.0
5,Man,Decile 4,0.0
5,Man,Decile 5,0.0
5,Man,Decile 6,0.0
5,Man,Decile 7,0.0
5,Man,Decile 8,0.0
5,Man,Decile 9,0.0
5,Man,Decile 10 (highest),0.0
5,Woman,Decile 1 (lowest),0.0
5,Woman,Decile 2,0.0
5,Woman,Decile 3,0.0
5,Woman,Decile 4,0.0
5,Woman,Decile 5,0.0
5,Woman,Decile 6,0.0
5,Woman,Decile 7,0.0
5,Woman,Decile 8,0.0
5,Woman,Decile 9,0.0
5,Woman,Decile 10 (highest),0.0
5,Non-binary,Decile 1 (lowest),0.0
5,Non-binary,Decile 2,0.0
5,Non-binary,Decile 3,0.0
5,Non-binary,Decile 4,0.0
5,Non-binary,Decile 5,0.0
5,Non-binary,Decile 6,0.0
5,Non-binary,Decile 7,0.0
5,Non-binary,Decile 8,0.0
5,Non-binary,Decile 9,0.0
5,Non-binary,Decile 10 (highest),0.0
5,Total,Decile 1 (lowest),0.0
5,Total,Decile 2,0.0
5,Total,Decile 3,0.0
5,Total,Decile 4,0.0
5,Total,Decile 5,0.0
5,Total,Decile 6,0.0
5,Total,Decile 7,0.0
5,Total,Decile 8,0.0
5,Total,Decile 9,0.0
5,Total,Decile 10 (highest),0.0
6,Man,Decile 1 (lowest),0.0
6,Man,Decile 2,0.0
6,Man,Decile 3,0.0
6,Man,Decile 4,0.0
6,Man,Decile 5,0.0
6,Man,Decile 6,0.0
6,Man,Decile 7,0.0
6,Man,Decile 8,0.0
6,Man,Decile 9,0.0
6,Man,Decile 10 (highest),0.0
6,Woman,Decile 1 (lowest),0.0
6,Woman,Decile 2,0.0
6,Woman,Decile 3,0.0
6,Woman,Decile 4,0.0
6,Woman,Decile 5,0.0
6,Woman,Decile 6,0.0
6,Woman,Decile 7,0.0
6,Woman,Decile 8,0.0
6,Woman,Decile 9,0.0
6,Woman,Decile 10 (highest),0.0
6,Non-binary,Decile 1 (lowest),0.0
6,Non-binary,Decile 2,0.0
6,Non-binary,Decile 3,0.0
6,Non-binary,Decile 4,0.0
6,Non-binary,Decile 5,0.0
6,Non-binary,Decile 6,0.0
6,Non-binary,Decile 7,0.0
6,Non-binary,Decile 8,0.0
6,Non-binary,Decile 9,0.0
6,Non-binary,Decile 10 (highest),0.0
6,Total,Decile 1 (lowest),0.0
6,Total,Decile 2,0.0
6,Total,Decile 3,0.0
6,Total,Decile 4,0.0
6,Total,Decile 5,0.0
6,Total,Decile 6,0.0
6,Total,Decile 7,0.0
6,Total,Decile 8,0.0
6,Total,Decile 9,0.0
6,Total,Decile 10 (highest),0.0
7,Man,Decile 1 (lowest),0.0
7,Man,Decile 2,0.0
7,Man,Decile 3,0.0
7,Man,Decile 4,0.0
7,Man,Decile 5,0.0
7,Man,Decile 6,0.0
7,Man,Decile 7,0.0
7,Man,Decile 8,0.0
7,Man,Decile 9,0.0
7,Man,Decile 10 (highest),0.0
7,Woman,Decile 1 (lowest),0.0
7,Woman,Decile 2,0.0
7,Woman,Decile 3,0.0
7,Woman,Decile 4,0.0
7,Woman,Decile 5,0.0
7,Woman,Decile 6,0.0
7,Woman,Decile 7,0.0
7,Woman,Decile 8,0.0
7,Woman,Decile 9,0.0
7,Woman,Decile 10 (highest),0.0
7,Non-binary,Decile 1 (lowest),0.0
7,Non-binary,Decile 2,0.0
7,Non-binary,Decile 3,0.0
7,Non-binary,Decile 4,0.0
7,Non-binary,Decile 5,0.0
7,Non-binary,Decile 6,0.0
7,Non-binary,Decile 7,0.0
7,Non-binary,Decile 8,0.0
7,Non-binary,Decile 9,0.0
7,Non-binary,Decile 10 (highest),0.0
7,Total,Decile 1 (lowest),0.0
7,Total,Decile 2,0.0
7,Total,Decile 3,0.0
7,Total,Decile 4,0.0
7,Total,Decile 5,0.0
7,Total,Decile 6,0.0
7,Total,Decile 7,0.0
7,Total,Decile 8,0.0
7,Total,Decile 9,0.0
7,Total,Decile 10 (highest),0.0
8,Man,Decile 1 (lowest),0.0
8,Man,Decile 2,0.0
8,Man,Decile 3,0.0
8,Man,Decile 4,0.0
8,Man,Decile 5,0.0
8,Man,Decile 6,0.0
8,Man,Decile 7,0.0
8,Man,Decile 8,0.0
8,Man,Decile 9,0.0
8,Man,Decile 10 (highest),0.0
8,Woman,Decile 1 (lowest),0.0
8,Woman,Decile 2,0.0
8,Woman,Decile 3,0.0
8,Woman,Decile 4,0.0
8,Woman,Decile 5,0.0
8,Woman,Decile 6,0.0
8,Woman,Decile 7,0.0
8,Woman,Decile 8,0.0
8,Woman,Decile 9,0.0
8,Woman,Decile 10 (highest),0.0
8,Non-binary,Decile 1 (lowest),0.0
8,Non-binary,Decile 2,0.0
8,Non-binary,Decile 3,0.0
8,Non-binary,Decile 4,0.0
8,Non-binary,Decile 5,0.0
8,Non-binary,Decile 6,0.0
8,Non-binary,Decile 7,0.0
8,Non-binary,Decile 8,0.0
8,Non-binary,Decile 9,0.0
8,Non-binary,Decile 10 (highest),0.0
8,Total,Decile 1 (lowest),0.0
8,Total,Decile 2,0.0
8,Total,Decile 3,0.0
8,Total,Decile 4,0.0
8,Total,Decile 5,0.0
8,Total,Decile 6,0.0
8,Total,Decile 7,0.0
8,Total,Decile 8,0.0
8,Total,Decile 9,0.0
8,Total,Decile 10 (highest),0.0
9,Man,Decile 1 (lowest),0.0
9,Man,Decile 2,0.0
9,Man,Decile 3,0.0
9,Man,Decile 4,0.0
9,Man,Decile 5,0.0
9,Man,Decile 6,0.0
9,Man,Decile 7,0.0
9,Man,Decile 8,0.0
9,Man,Decile 9,0.0
9,Man,Decile 10 (highest),0.0
9,Woman,Decile 1 (lowest),0.0
9,Woman,Decile 2,0.0
9,Woman,Decile 3,0.0
9,Woman,Decile 4,0.0
9,Woman,Decile 5,0.0
9,Woman,Decile 6,0.0
9,Woman,Decile 7,0.0
9,Woman,Decile 8,0.0
9,Woman,Decile 9,0.0
9,Woman,Decile 10 (highest),0.0
9,Non-binary,Decile 1 (lowest),0.0
9,Non-binary,Decile 2,0.0
9,Non-binary,Decile 3,0.0
9,Non-binary,Decile 4,0.0
9,Non-binary,Decile 5,0.0
9,Non-binary,Decile 6,0.0
9,Non-binary,Decile 7,0.0
9,Non-binary,Decile 8,0.0
9,Non-binary,Decile 9,0.0
9,Non-binary,Decile 10 (highest),0.0
9,Total,Decile 1 (lowest),0.0
9,Total,Decile 2,0.0
9,Total,Decile 3,0.0
9,Total,Decile 4,0.0
9,Total,Decile 5,0.0
9,Total,Decile 6,0.0
9,Total,Decile 7,0.0
9,Total,Decile 8,0.0
9,Total,Decile 9,0.0
9,Total,Decile 10 (highest),0.0
10,Man,Decile 1 (lowest),0.0
10,Man,Decile 2,0.0
10,Man,Decile 3,0.0
10,Man,Decile 4,0.0
10,Man,Decile 5,0.0
10,Man,Decile 6,0.0
10,Man,Decile 7,0.0
10,Man,Decile 8,0.0
10,Man,Decile 9,0.0
10,Man,Decile 10 (highest),0.0
10,Woman,Decile 1 (lowest),0.0
10,Woman,Decile 2,0.0
10,Woman,Decile 3,0.0
10,Woman,Decile 4,0.0
10,Woman,Decile 5,0.0
10,Woman,Decile 6,0.0
10,Woman,Decile 7,0.0
10,Woman,Decile 8,0.0
10,Woman,Decile 9,0.0
10,Woman,Decile 10 (highest),0.0
10,Non-binary,Decile 1 (lowest),0.0
10,Non-binary,Decile 2,0.0
10,Non-binary,Decile 3,0.0
10,Non-binary,Decile 4,0.0
10,Non-binary,Decile 5,0.0
10,Non-binary,Decile 6,0.0
10,Non-binary,Decile 7,0.0
10,Non-binary,Decile 8,0.0
10,Non-binary,Decile 9,0.0
10,Non-binary,Decile 10 (highest),0.0
10,Total,Decile 1 (lowest),0.0
10,Total,Decile 2,0.0
10,Total,Decile 3,0.0
10,Total,Decile 4,0.0
10,Total,Decile 5,0.0
10,Total,Decile 6,0.0
10,Total,Decile 7,0.0
10,Total,Decile 8,0.0
10,Total,Decile 9,0.0
10,Total,Decile 10 (highest),0.0
11,Man,Decile 1 (lowest),0.0
11,Man,Decile 2,0.0
11,Man,Decile 3,0.0
11,Man,Decile 4,0.0
11,Man,Decile 5,0.0
11,Man,Decile 6,0.0
11,Man,Decile 7,0.0
11,Man,Decile 8,0.0
11,Man,Decile 9,0.0
11,Man,Decile 10 (highest),0.0
11,Woman,Decile 1 (lowest),0.0
11,Woman,Decile 2,0.0
11,Woman,Decile 3,0.0
11,Woman,Decile 4,0.0
11,Woman,Decile 5,0.0
11,Woman,Decile 6,0.0
11,Woman,Decile 7,0.0
11,Woman,Decile 8,0.0
11,Woman,Decile 9,0.0
11,Woman,Decile 10 (highest),0.0
11,Non-binary,Decile 1 (lowest),0.0
11,Non-binary,Decile 2,0.0
11,Non-binary,Decile 3,0.0
11,Non-binary,Decile 4,0.0
11,Non-binary,Decile 5,0.0
11,Non-binary,Decile 6,0.0
11,Non-binary,Decile 7,0.0
11,Non-binary,Decile 8,0.0
11,Non-binary,Decile 9,0.0
11,Non-binary,Decile 10 (highest),0.0
11,Total,Decile 1 (lowest),0.0
11,Total,Decile 2,0.0
11,Total,Decile 3,0.0
11,Total,Decile 4,0.0
11,Total,Decile 5,0.0
11,Total,Decile 6,0.0
11,Total,Decile 7,0.0
11,Total,Decile 8,0.0
11,Total,Decile 9,0.0
11,Total,Decile 10 (highest),0.0
12,Man,Decile 1 (lowest),0.0
12,Man,Decile 2,0.0
12,Man,Decile 3,0.0
12,Man,Decile 4,0.0
12,Man,Decile 5,0.0
12,Man,Decile 6,0.0
12,Man,Decile 7,0.0
12,Man,Decile 8,0.0
12,Man,Decile 9,0.0
12,Man,Decile 10 (highest),0.0
12,Woman,Decile 1 (lowest),0.0
12,Woman,Decile 2,0.0
12,Woman,Decile 3,0.0
12,Woman,Decile 4,0.0
12,Woman,Decile 5,0.0
12,Woman,Decile 6,0.0
12,Woman,Decile 7,0.0
12,Woman,Decile 8,0.0
12,Woman,Decile 9,0.0
12,Woman,Decile 10 (highest),0.0
12,Non-binary,Decile 1 (lowest),0.0
12,Non-binary,Decile 2,0.0
12,Non-binary,Decile 3,0.0
12,Non-binary,Decile 4,0.0
12,Non-binary,Decile 5,0.0
12,Non-binary,Decile 6,0.0
12,Non-binary,Decile 7,0.0
12,Non-binary,Decile 8,0.0
12,Non-binary,Decile 9,0.0
12,Non-binary,Decile 10 (highest),0.0
12,Total,Decile 1 (lowest),0.0
12,Total,Decile 2,0.0
12,Total,Decile 3,0.0
12,Total,Decile 4,0.0
12,Total,Decile 5,0.0
12,Total,Decile 6,0.0
12,Total,Decile 7,0.0
12,Total,Decile 8,0.0
12,Total,Decile 9,0.0
12,Total,Decile 10 (highest),0.0
13,Man,Decile 1 (lowest),0.0
13,Man,Decile 2,0.0
13,Man,Decile 3,0.0
13,Man,Decile 4,0.0
13,Man,Decile 5,0.0
13,Man,Decile 6,0.0
13,Man,Decile 7,0.0
13,Man,Decile 8,0.0
13,Man,Decile 9,0.0
13,Man,Decile 10 (highest),0.0
13,Woman,Decile 1 (lowest),0.0
13,Woman,Decile 2,0.0
13,Woman,Decile 3,0.0
13,Woman,Decile 4,0.0
13,Woman,Decile 5,0.0
13,Woman,Decile 6,0.0
13,Woman,Decile 7,0.0
13,Woman,Decile 8,0.0
13,Woman,Decile 9,0.0
13,Woman,Decile 10 (highest),0.0
13,Non-binary,Decile 1 (lowest),0.0
13,Non-binary,Decile 2,0.0
13,Non-binary,Decile 3,0.0
13,Non-binary,Decile 4,0.0
13,Non-binary,Decile 5,0.0
13,Non-binary,Decile 6,0.0
13,Non-binary,Decile 7,0.0
13,Non-binary,Decile 8,0.0
13,Non-binary,Decile 9,0.0
13,Non-binary,Decile 10 (highest),0.0
13,Total,Decile 1 (lowest),0.0
13,Total,Decile 2,0.0
13,Total,Decile 3,0.0
13,Total,Decile 4,0.0
13,Total,Decile 5,0.0
13,Total,Decile 6,0.0
13,Total,Decile 7,0.0
13,Total,Decile 8,0.0
13,Total,Decile 9,0.0
13,Total,Decile 10 (highest),0.0
14,Man,Decile 1 (lowest),0.0
14,Man,Decile 2,0.0
14,Man,Decile 3,0.0
14,Man,Decile 4,0.0
14,Man,Decile 5,0.0
14,Man,Decile 6,0.0
14,Man,Decile 7,0.0
14,Man,Decile 8,0.0
14,Man,Decile 9,0.0
14,Man,Decile 10 (highest),0.0
14,Woman,Decile 1 (lowest),0.0
14,Woman,Decile 2,0.0
14,Woman,Decile 3,0.0
14,Woman,Decile 4,0.0
14,Woman,Decile 5,0.0
14,Woman,Decile 6,0.0
14,Woman,Decile 7,0.0
14,Woman,Decile 8,0.0
14,Woman,Decile 9,0.0
14,Woman,Decile 10 (highest),0.0
14,Non-binary,Decile 1 (lowest),0.0
14,Non-binary,Decile 2,0.0
14,Non-binary,Decile 3,0.0
14,Non-binary,Decile 4,0.0
14,Non-binary,Decile 5,0.0
14,Non-binary,Decile 6,0.0
14,Non-binary,Decile 7,0.0
14,Non-binary,Decile 8,0.0
14,Non-binary,Decile 9,0.0
14,Non-binary,Decile 10 (highest),0.0
14,Total,Decile 1 (lowest),0.0
14,Total,Decile 2,0.0
14,Total,Decile 3,0.0
14,Total,Decile 4,0.0
14,Total,Decile 5,0.0
14,Total,Decile 6,0.0
14,Total,Decile 7,0.0
14,Total,Decile 8,0.0
14,Total,Decile 9,0.0
14,Total,Decile 10 (highest),0.0
15,Man,Decile 1 (lowest),0.0
15,Man,Decile 2,0.0
15,Man,Decile 3,0.0
15,Man,Decile 4,0.0
15,Man,Decile 5,0.0
15,Man,Decile 6,0.0
15,Man,Decile 7,0.0
15,Man,Decile 8,0.0
15,Man,Decile 9,0.0
15,Man,Decile 10 (highest),0.0
15,Woman,Decile 1 (lowest),0.0
15,Woman,Decile 2,0.0
15,Woman,Decile 3,0.0
15,Woman,Decile 4,0.0
15,Woman,Decile 5,0.0
15,Woman,Decile 6,0.0
15,Woman,Decile 7,0.0
15,Woman,Decile 8,0.0
15,Woman,Decile 9,0.0
15,Woman,Decile 10 (highest),0.0
15,Non-binary,Decile 1 (lowest),0.0
15,Non-binary,Decile 2,0.0
15,Non-binary,Decile 3,0.0
15,Non-binary,Decile 4,0.0
15,Non-binary,Decile 5,0.0
15,Non-binary,Decile 6,0.0
15,Non-binary,Decile 7,0.0
15,Non-binary,Decile 8,0.0
15,Non-binary,Decile 9,0.0
15,Non-binary,Decile 10 (highest),0.0
15,Total,Decile 1 (lowest),0.0
15,Total,Decile 2,0.0
15,Total,Decile 3,0.0
15,Total,Decile 4,0.0
15,Total,Decile 5,0.0
15,Total,Decile 6,0.0
15,Total,Decile 7,0.0
15,Total,Decile 8,0.0
15,Total,Decile 9,0.0
15,Total,Decile 10 (highest),0.0
16,Man,Decile 1 (lowest),4.0
16,Man,Decile 2,5.0
16,Man,Decile 3,3.1
16,Man,Decile 4,9.9
16,Man,Decile 5,0.0
16,Man,Decile 6,6.3
16,Man,Decile 7,5.4
16,Man,Decile 8,5.9
16,Man,Decile 9,2.6
16,Man,Decile 10 (highest),7.8
16,Woman,Decile 1 (lowest),4.0
16,Woman,Decile 2,0.0
16,Woman,Decile 3,6.3
16,Woman,Decile 4,6.9
16,Woman,Decile 5,7.0
16,Woman,Decile 6,1.3
16,Woman,Decile 7,2.4
16,Woman,Decile 8,2.4
16,Woman,Decile 9,2.6
16,Woman,Decile 10 (highest),5.9
16,Non-binary,Decile 1 (lowest),0.0
16,Non-binary,Decile 2,0.0
16,Non-binary,Decile 3,0.0
16,Non-binary,Decile 4,0.0
16,Non-binary,Decile 5,0.0
16,Non-binary,Decile 6,0.0
16,Non-binary,Decile 7,0.0
