age,gender,level,value
0,Man,Current daily smoker,0.0
0,Man,Current smoker - other,0.0
0,Man,Current non-smoker,0.0
0,Woman,Current daily smoker,0.0
0,Woman,Current smoker - other,0.0
0,Woman,Current non-smoker,0.0
0,Non-binary,Current daily smoker,0.0
0,Non-binary,Current smoker - other,0.0
0,Non-binary,Current non-smoker,0.0
0,Total,Current daily smoker,0.0
0,Total,Current smoker - other,0.0
0,Total,Current non-smoker,0.0
1,Man,Current daily smoker,0.0
1,Man,Current smoker - other,0.0
1,Man,Current non-smoker,0.0
1,Woman,Current daily smoker,0.0
1,Woman,Current smoker - other,0.0
1,Woman,Current non-smoker,0.0
1,Non-binary,Current daily smoker,0.0
1,Non-binary,Current smoker - other,0.0
1,Non-binary,Current non-smoker,0.0
1,Total,Current daily smoker,0.0
1,Total,Current smoker - other,0.0
1,Total,Current non-smoker,0.0
2,Man,Current daily smoker,0.0
2,Man,Current smoker - other,0.0
2,Man,Current non-smoker,0.0
2,Woman,Current daily smoker,0.0
2,Woman,Current smoker - other,0.0
2,Woman,Current non-smoker,0.0
2,Non-binary,Current daily smoker,0.0
2,Non-binary,Current smoker - other,0.0
2,Non-binary,Current non-smoker,0.0
2,Total,Current daily smoker,0.0
2,Total,Current smoker - other,0.0
2,Total,Current non-smoker,0.0
3,Man,Current daily smoker,0.0
3,Man,Current smoker - other,0.0
3,Man,Current non-smoker,0.0
3,Woman,Current daily smoker,0.0
3,Woman,Current smoker - other,0.0
3,Woman,Current non-smoker,0.0
3,Non-binary,Current daily smoker,0.0
3,Non-binary,Current smoker - other,0.0
3,Non-binary,Current non-smoker,0.0
3,Total,Current daily smoker,0.0
3,Total,Current smoker - other,0.0
3,Total,Current non-smoker,0.0
4,Man,Current daily smoker,0.0
4,Man,Current smoker - other,0.0
4,Man,Current non-smoker,0.0
4,Woman,Current daily smoker,0.0
4,Woman,Current smoker - other,0.0
4,Woman,Current non-smoker,0.0
4,Non-binary,Current daily smoker,0.0
4,Non-binary,Current smoker - other,0.0
4,Non-binary,Current non-smoker,0.0
4,Total,Current daily smoker,0.0
4,Total,Current smoker - other,0.0
4,Total,Current non-smoker,0.0
5,Man,Current daily smoker,0.0
5,Man,Current smoker - other,0.0
5,Man,Current non-smoker,0.0
5,Woman,Current daily smoker,0.0
5,Woman,Current smoker - other,0.0
5,Woman,Current non-smoker,0.0
5,Non-binary,Current daily smoker,0.0
5,Non-binary,Current smoker - other,0.0
5,Non-binary,Current non-smoker,0.0
5,Total,Current daily smoker,0.0
5,Total,Current smoker - other,0.0
5,Total,Current non-smoker,0.0
6,Man,Current daily smoker,0.0
6,Man,Current smoker - other,0.0
6,Man,Current non-smoker,0.0
6,Woman,Current daily smoker,0.0
6,Woman,Current smoker - other,0.0
6,Woman,Current non-smoker,0.0
