age,gender,level,value
0,Man,New South Wales,0.0
0,Man,Victoria,0.0
0,Man,Queensland,0.0
0,Man,South Australia,0.0
0,Man,Western Australia,0.0
0,Man,Tasmania,0.0
0,Man,Northern Territory,0.0
0,Man,Australian Capital Territory,0.0
0,Man,Other Territories,0.0
0,Man,Outside Australia,0.0
0,Woman,New South Wales,0.0
0,Woman,Victoria,0.0
0,Woman,Queensland,0.0
0,Woman,South Australia,0.0
0,Woman,Western Australia,0.0
0,Woman,Tasmania,0.0
0,Woman,Northern Territory,0.0
0,Woman,Australian Capital Territory,0.0
0,Woman,Other Territories,0.0
0,Woman,Outside Australia,0.0
0,Non-binary,New South Wales,0.0
0,Non-binary,Victoria,0.0
0,Non-binary,Queensland,0.0
0,Non-binary,South Australia,0.0
0,Non-binary,Western Australia,0.0
0,Non-binary,Tasmania,0.0
0,Non-binary,Northern Territory,0.0
0,Non-binary,Australian Capital Territory,0.0
0,Non-binary,Other Territories,0.0
0,Non-binary,Outside Australia,0.0
0,Total,New South Wales,0.0
0,Total,Victoria,0.0
0,Total,Queensland,0.0
0,Total,South Australia,0.0
0,Total,Western Australia,0.0
0,Total,Tasmania,0.0
0,Total,Northern Territory,0.0
0,Total,Australian Capital Territory,0.0
0,Total,Other Territories,0.0
0,Total,Outside Australia,0.0
1,Man,New South Wales,0.0
1,Man,Victoria,0.0
1,Man,Queensland,0.0
1,Man,South Australia,0.0
1,Man,Western Australia,0.0
1,Man,Tasmania,0.0
1,Man,Northern Territory,0.0
1,Man,Australian Capital Territory,0.0
1,Man,Other Territories,0.0
1,Man,Outside Australia,0.0
1,Woman,New South Wales,0.0
1,Woman,Victoria,0.0
1,Woman,Queensland,0.0
1,Woman,South Australia,0.0
1,Woman,Western Australia,0.0
1,Woman,Tasmania,0.0
1,Woman,Northern Territory,0.0
1,Woman,Australian Capital Territory,0.0
1,Woman,Other Territories,0.0
1,Woman,Outside Australia,0.0
1,Non-binary,New South Wales,0.0
1,Non-binary,Victoria,0.0
1,Non-binary,Queensland,0.0
1,Non-binary,South Australia,0.0
1,Non-binary,Western Australia,0.0
1,Non-binary,Tasmania,0.0
1,Non-binary,Northern Territory,0.0
1,Non-binary,Australian Capital Territory,0.0
1,Non-binary,Other Territories,0.0
1,Non-binary,Outside Australia,0.0
1,Total,New South Wales,0.0
1,Total,Victoria,0.0
1,Total,Queensland,0.0
1,Total,South Australia,0.0
1,Total,Western Australia,0.0
1,Total,Tasmania,0.0
1,Total,Northern Territory,0.0
1,Total,Australian Capital Territory,0.0
1,Total,Other Territories,0.0
1,Total,Outside Australia,0.0
2,Man,New South Wales,0.0
2,Man,Victoria,0.0
2,Man,Queensland,0.0
2,Man,South Australia,0.0
2,Man,Western Australia,0.0
2,Man,Tasmania,0.0
2,Man,Northern Territory,0.0
2,Man,Australian Capital Territory,0.0
2,Man,Other Territories,0.0
2,Man,Outside Australia,0.0
2,Woman,New South Wales,0.0
2,Woman,Victoria,0.0
2,Woman,Queensland,0.0
2,Woman,South Australia,0.0
2,Woman,Western Australia,0.0
2,Woman,Tasmania,0.0
2,Woman,Northern Territory,0.0
2,Woman,Australian Capital Territory,0.0
2,Woman,Other Territories,0.0
2,Woman,Outside Australia,0.0
2,Non-binary,New South Wales,0.0
2,Non-binary,Victoria,0.0
2,Non-binary,Queensland,0.0
2,Non-binary,South Australia,0.0
2,Non-binary,Western Australia,0.0
2,Non-binary,Tasmania,0.0
2,Non-binary,Northern Territory,0.0
2,Non-binary,Australian Capital Territory,0.0
2,Non-binary,Other Territories,0.0
2,Non-binary,Outside Australia,0.0
2,Total,New South Wales,0.0
2,Total,Victoria,0.0
2,Total,Queensland,0.0
2,Total,South Australia,0.0
2,Total,Western Australia,0.0
2,Total,Tasmania,0.0
2,Total,Northern Territory,0.0
2,Total,Australian Capital Territory,0.0
2,Total,Other Territories,0.0
2,Total,Outside Australia,0.0
3,Man,New South Wales,0.0
3,Man,Victoria,0.0
3,Man,Queensland,0.0
3,Man,South Australia,0.0
3,Man,Western Australia,0.0
3,Man,Tasmania,0.0
