,count,mean,std,min,25%,50%,75%,max,corr_with_target,abs_corr
nhs_comorbidity_all_condition__diseases_of_the_digestive_system_rate,84.0,0.08531700922716,0.0631526484141026,0.0,0.03365861513687595,0.07745000254092595,0.12708167458584813,0.3573264781491003,0.5530139697842961,0.5530139697842961
nhs_alcohol__did_not_exceed_guideline_rate,84.0,0.46608492008081986,0.1237530876948245,0.0,0.44211471338434677,0.5023053677042344,0.5379322064753022,0.6141304347826086,0.4896541313173416,0.4896541313173416
nhs_states__queensland_rate,84.0,0.1813659295315081,0.07880046236755393,0.0,0.1621713925809506,0.20188961691880203,0.22452313307684718,0.3471774193548387,0.40398184846362284,0.40398184846362284
nhs_seifa__decile_4_rate,84.0,0.10690506909735382,0.05578537914785346,0.0,0.0767485467012832,0.10776410126965849,0.1372484304106025,0.225130890052356,0.40001435267466384,0.40001435267466384
nhs_comorbidity_all_condition__diseases_of_the_skin_and_subcutaneous_tissue_rate,84.0,0.04125250361963622,0.02752414572061472,0.0,0.023663183595618677,0.044133242303180054,0.059760118970645204,0.1076419863217365,0.3923752043906622,0.3923752043906622
nhs_states__new_south_wales_rate,84.0,0.2944161407233355,0.09810846699239399,0.0,0.2717433837982072,0.30840891158452793,0.34825172620361317,0.5168539325842696,0.3792796011130717,0.3792796011130717
nhs_states__victoria_rate,84.0,0.2298018184496983,0.09989999015953999,0.0,0.19364622340886886,0.24870151934372114,0.2972027034680662,0.3942885771543086,0.3763312528406731,0.3763312528406731
nhs_states__western_australia_rate,84.0,0.0962357189417601,0.04300849764749336,0.0,0.07804413292897586,0.10130863379123234,0.12547884457620495,0.1956521739130435,0.3523492602097654,0.3523492602097654
nhs_activity__met_2014_physical_activity_guidelines_rate,84.0,0.2292638300828378,0.1138287452926614,0.0,0.1787590505743372,0.23114646586051563,0.30881449527782845,0.4432387312186978,0.3428557365975117,0.3428557365975117
nhs_seifa__decile_6_rate,84.0,0.09754605000164068,0.05245762965145674,0.0,0.07244446718936297,0.09299933090701551,0.13277586874563232,0.2884615384615384,0.3279436287746038,0.3279436287746038
nhs_seifa__decile_2_rate,84.0,0.08539355365526712,0.061454342328011696,0.0,0.05556666586663485,0.08111570767826021,0.10641964854299903,0.4693877551020407,0.32236019395921856,0.32236019395921856
nhs_smoking__current_daily_smoker_rate,84.0,0.08162678530316375,0.06314497895002441,0.0,0.032058308133674426,0.08721360054858915,0.12064785315404437,0.2507180960196963,0.3193014907838285,0.3193014907838285
nhs_comorbidity_all_condition__injury_poisoning_and_certain_other_consequences_of_external_causes_rate,84.0,0.15938433051801526,0.06625908331716465,0.0,0.13841248098522954,0.16731530372716347,0.19349746017086117,0.3333333333333333,0.31178390415869905,0.31178390415869905
nhs_comorbidity_all_condition__diseases_of_the_nervous_system_rate,84.0,0.0893185864802022,0.04847043139716978,0.0,0.06577091902510893,0.09855248495234445,0.11982816252994632,0.1913043478260869,0.30041203701626124,0.30041203701626124
nhs_seifa__decile_10_highest_rate,84.0,0.08299255913467232,0.05064467428789963,0.0,0.05844698558386328,0.0819959536034692,0.11134420772691027,0.2930591259640103,0.26460169340375994,0.26460169340375994
