,Linear Regression,Ridge (α=1.0),Lasso (α=0.001)
nhs_smoking__current_daily_smoker_rate,0.058166789004313296,0.043595286466921866,0.031180891571516683
nhs_comorbidity_all_condition__diseases_of_the_ear_and_mastoid_process_rate,-0.05152352797427323,-0.03123249425755563,-0.0029807684909856137
nhs_smoking__current_non_smoker_rate,0.045379891596428044,0.032674299844088116,0.024025034420294144
nhs_comorbidity_all_condition__diseases_of_the_circulatory_system_rate,0.04513024741162787,0.013268562103384951,0.0
nhs_comorbidity_all_condition__diseases_of_the_musculoskeletal_system_and_connective_tissue_rate,-0.038707988965684184,-0.031055296643528334,-0.029406068631480976
nhs_comorbidity_all_condition__endocrine_nutritional_and_metabolic_disorders_rate,-0.03786145930857939,-0.01635066948318771,-0.0
nhs_comorbidity_all_condition__diseases_of_the_respiratory_system_rate,-0.03324845019109739,-0.030107276345103753,-0.022312051348983758
nhs_alcohol__did_not_exceed_guideline_rate,0.029752517769001476,0.017430736059885616,0.009275494367439152
nhs_states__tasmania_rate,0.02864793976422359,0.020150401345415445,0.006981581289341031
nhs_states__new_south_wales_rate,0.02755455896749511,0.0227040793718949,0.012630178133432734
nhs_states__victoria_rate,0.027103737803805303,0.025645331103142113,0.012909710374377933
nhs_comorbidity_all_condition__diseases_of_the_nervous_system_rate,-0.021758222197961006,-0.0175797164244628,-0.009777347257755704
nhs_comorbidity_all_condition__diseases_of_the_eye_and_adnexa_rate,0.02090195667765694,0.02449415826239694,0.022312567031216618
nhs_comorbidity_all_condition__diseases_of_the_blood_and_blood_forming_organs_rate,-0.01889857194453965,-0.012548375522784361,-0.0016919425565923901
nhs_comorbidity_all_condition__mental_and_behavioural_disorders_rate,-0.018874106179157628,-0.015317024048322705,-0.005352579123611886
nhs_activity__met_2014_physical_activity_guidelines_rate,-0.01861869729368366,-0.009711119198556396,-0.0
nhs_comorbidity_all_condition__symptoms_signs_and_conditions_not_elsewhere_classified_rate,0.0182212470109033,0.00951841255341117,-0.0
nhs_comorbidity_all_condition__diseases_of_the_skin_and_subcutaneous_tissue_rate,0.016855086582679937,0.014182458566755903,0.009302474397193145
nhs_seifa__decile_9_rate,-0.01633834684951888,-0.011146681520328074,-0.004837761477214747
nhs_activity__did_not_meet_2014_physical_activity_guidelines_rate,-0.01421200631234095,-0.005089731159192079,0.0
nhs_comorbidity_all_condition__diseases_of_the_digestive_system_rate,0.013861451281332331,0.017135138568553032,0.02265906932223175
nhs_comorbidity_all_condition__neoplasms_rate,0.012981344966922609,0.01074718123655056,0.0014844501799453262
nhs_comorbidity_all_condition__diseases_of_genito_urinary_system_rate,0.012712276089550632,0.00773424678259557,0.0
nhs_seifa__decile_8_rate,-0.010831493753981849,-0.008045411040194642,-2.1034484557801265e-05
nhs_abs_condition__all_conditions_rate,0.010828856510378808,0.004646772502890169,0.0
nhs_alcohol__exceeded_guideline_rate,-0.0100268212931445,-0.016622157206831516,-0.014083227547841306
nhs_states__western_australia_rate,0.009325765602585655,0.006777954452151376,0.002794267086207247
nhs_alcohol__never_consumed_alcohol_rate,0.009287563544527953,-0.004871773170765862,-0.014103870700845228
nhs_states__queensland_rate,0.008895525721262627,0.009246786775553946,0.0032021364022194795
nhs_seifa__decile_5_rate,0.007970796178189604,0.011835153585648897,0.011787687700889686
nhs_seifa__decile_1_lowest_rate,-0.007289850823304957,-0.006344119770176927,-0.002806800086520683
nhs_seifa__decile_3_rate,0.006961458680446718,0.010471688000982795,0.012061004088131285
nhs_seifa__decile_2_rate,0.006042935512676903,0.0037415695103876156,0.00042747315724676345
nhs_seifa__decile_7_rate,-0.005401327582262243,-0.0032701592307181246,0.0
nhs_smoking__current_smoker_other_rate,-0.005191281460156759,-0.006394811381232621,-0.0067214405110379155
nhs_seifa__decile_6_rate,-0.005119281741448724,-0.00010370767635073719,0.007839422043069356
nhs_alcohol__time_since_last_consumed_alcohol_not_known_rate,-0.004213054335397901,-0.008194078736441915,-0.00618650825913738
nhs_seifa__decile_10_highest_rate,0.0041134442209699845,0.0022374961085547874,-0.0
nhs_alcohol__consumed_alcohol_12_or_more_months_ago_rate,0.0030429676493503094,0.000610802372784163,0.0
nhs_states__south_australia_rate,0.0021259647314412597,0.010520963798682574,0.005217392448662587
nhs_seifa__decile_4_rate,-0.00197110759165729,0.0010410339995012132,0.006168410284175933
nhs_comorbidity_all_condition__injury_poisoning_and_certain_other_consequences_of_external_causes_rate,-0.0007521956220818029,-0.00022455646166016506,0.0003197854484540669
