,importance
nhs_bmi__obese_class_3_adult_only_rate,0.08109752291613335
nhs_bmi__obese_class_1_rate,0.07106877691960391
age,0.05991089717424558
nhs_alcohol__consumed_alcohol_12_or_more_months_ago_rate,0.05488083431489775
nhs_alcohol__exceeded_guideline_rate,0.05448293795634718
nhs_seifa__decile_10_highest_rate,0.05219894445289716
nhs_seifa__decile_6_rate,0.041610745863042524
nhs_bmi__normal_range_adult_only_rate,0.03742467287197413
nhs_bmi__overweight_rate,0.03471767825882471
nhs_smoking__current_daily_smoker_rate,0.033913144729395175
nhs_states__tasmania_rate,0.029190736375568814
nhs_bmi__obese_class_2_adult_only_rate,0.02748352621590803
nhs_seifa__decile_7_rate,0.026383165033536483
nhs_states__new_south_wales_rate,0.02610210751130095
nhs_bmi__normal_range_rate,0.025880028427577813
nhs_alcohol__never_consumed_alcohol_rate,0.025417191947159714
nhs_seifa__decile_4_rate,0.022811537817936472
nhs_smoking__current_non_smoker_rate,0.02278303874144309
nhs_seifa__decile_2_rate,0.02266685157087544
nhs_seifa__decile_3_rate,0.021772265178549282
nhs_seifa__decile_9_rate,0.02163610641976989
nhs_states__victoria_rate,0.021560544441685075
nhs_seifa__decile_5_rate,0.021369561380699467
nhs_states__queensland_rate,0.021014030761675233
nhs_alcohol__did_not_exceed_guideline_rate,0.02076894740742765
nhs_seifa__decile_8_rate,0.019731486115298274
nhs_activity__met_2014_physical_activity_guidelines_rate,0.019049115304051834
nhs_activity__did_not_meet_2014_physical_activity_guidelines_rate,0.017204940122850773
nhs_states__south_australia_rate,0.01701240601882126
nhs_states__western_australia_rate,0.013297166695355323
nhs_alcohol__time_since_last_consumed_alcohol_not_known_rate,0.011254958738825429
nhs_seifa__decile_1_lowest_rate,0.011108731625192294
nhs_smoking__current_smoker_other_rate,0.01105826190087432
nhs_bmi__underweight_class_1_rate,0.0021371387902557604
