,0
nhs_comorbidity_all_condition__diseases_of_the_digestive_system_rate,0.6226953033951553
nhs_alcohol__did_not_exceed_guideline_rate,0.5990544815845041
nhs_bmi__obese_class_1_rate,0.5984889861863668
nhs_comorbidity_all_condition__diseases_of_the_skin_and_subcutaneous_tissue_rate,0.584246042274556
nhs_comorbidity_all_condition__diseases_of_the_nervous_system_rate,0.5299221921791185
nhs_bmi__obese_class_3_adult_only_rate,0.4999464760480765
nhs_states__new_south_wales_rate,0.48249383584803635
nhs_states__western_australia_rate,0.4794123216600551
nhs_bmi__overweight_rate,0.47799984596171746
nhs_states__queensland_rate,0.46367146292149836
nhs_comorbidity_all_condition__diseases_of_genito_urinary_system_rate,0.4607246176220716
nhs_bmi__obese_class_2_adult_only_rate,0.4576499948811664
nhs_seifa__decile_6_rate,0.4546532046062856
nhs_states__victoria_rate,0.4396030233353986
nhs_smoking__current_daily_smoker_rate,0.4354011350219687
nhs_activity__met_2014_physical_activity_guidelines_rate,0.4321091095064527
nhs_seifa__decile_4_rate,0.374326007936657
nhs_bmi__normal_range_rate,0.3665262509988605
nhs_alcohol__consumed_alcohol_12_or_more_months_ago_rate,0.3631998964917777
nhs_comorbidity_all_condition__diseases_of_the_respiratory_system_rate,0.34696773104609563
nhs_seifa__decile_7_rate,0.3462193844996707
nhs_seifa__decile_3_rate,0.3368317751926279
nhs_alcohol__exceeded_guideline_rate,0.33210102711073214
nhs_comorbidity_all_condition__injury_poisoning_and_certain_other_consequences_of_external_causes_rate,0.3255857247289647
nhs_abs_condition__all_conditions_rate,0.32128896796562156
